year,month,rank,net_worth,last_name,first_name,full_name,birth_date,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,business_industries,organization_name,position_in_organization,self_made,wealth_status
2001,7,27,10.5 B,,,Michael Dell,,36,,United States,United States,Austin,,,,,,
2001,7,29,10.3 B,,,Silvio Berlusconi & family,,64,,Italy,Italy,North of Milan,,,,,,
2001,7,30,9.1 B,,,Abigail Johnson,,39,,United States,United States,Boston,,['Finance'],,,,
2001,7,31,9.0 B,,,Forrest Mars,,69,,United States,United States,McLean,,['Food'],,,,
2001,7,31,9.0 B,,,Jacqueline Mars,,61,,United States,United States,Bedminster,,['Food'],,,,
2001,7,31,9.0 B,,,John Mars,,65,,United States,United States,Arlington,,['Food'],,,,
2001,7,31,9.0 B,,,Birgit Rausing & family,,48,,Sweden,Sweden,,,['Manufacturing'],,,,
2001,7,35,8.8 B,Ergen,Charles,Charles Ergen,1953-03-01,48,Male,United States,United States,Denver,,['Media'],,,False,
2001,7,35,8.8 B,,,"Robert E ""Ted"" Turner",,62,,United States,United States,Atlanta,,['Media'],,,,
2001,7,39,7.8 B,,,Rupert Murdoch,,70,,United States,United States,New York,,['Media'],,,,
2001,7,40,7.7 B,,,Hans Rausing,,75,,Sweden,Sweden,Essex,,['Manufacturing'],,,,
2001,7,42,6.9 B,,,Azim Premji,,55,,India,India,Bangalore,,,,,,
2001,7,43,6.6 B,,,Leonardo Del Vecchio,,66,,Italy,Italy,Milan,,['Manufacturing'],,,,
2001,7,43,6.6 B,,,Amancio Ortega,,65,,Spain,Spain,La Coruna,,['Apparel'],,,,
2001,7,45,6.5 B,,,Gerald Cavendish Grosvenor & family,,49,,United Kingdom,United Kingdom,Chester,,['Real Estate'],,,,
2001,7,46,6.4 B,,,Kirk Kerkorian,,84,,United States,United States,Las Vegas,,['Finance'],,,,
2001,7,47,6.3 B,,,Francois Pinault & family,,64,,France,France,Paris,,,,,,
2001,7,47,6.3 B,,,Charles Schwab,,64,,United States,United States,Atherton,,['Finance'],,,,
2001,7,50,6.0 B,Al-Kharafi,Nasser,Nasser Al-Kharafi & family,1943-06-17,58,Male,Kuwait,,,,['Diversified'],,,False,
2001,7,50,6.0 B,,,George Soros,,70,,United States,United States,Bedford,,['Finance'],,,,
2001,7,52,5.9 B,,,Shau Kee Lee,,73,,Hong Kong,Hong Kong,hong kong,,['Real Estate'],,,,
2001,7,53,5.8 B,,,Eli Broad,,68,,United States,United States,Brentwood,,['Real Estate'],,,,
2001,7,54,5.7 B,Goodnight,James,James Goodnight,1943-01-06,58,Male,United States,United States,Cary,,['Technology'],,,False,
2001,7,55,5.6 B,,,Masayoshi Son,,43,,Japan,Japan,Tokyo,,['Software'],,,,
2001,7,57,5.5 B,,,Luciano Benetton,,66,,Italy,Italy,Treviso,,['Apparel'],,,,
2001,7,57,5.5 B,,,Thomas Pritzker,,51,,United States,United States,Chicago,,['Real Estate'],,,,
2001,7,60,5.4 B,,,Curt Engelhorn,,75,,Germany,Bermuda,Bermuda,,['Pharmaceuticals'],,,,
2001,7,60,5.4 B,,,Gordon Moore,,72,,United States,United States,Woodside,,,,,,
2001,7,60,5.4 B,,,Hasso Plattner,,57,,Germany,Germany,Heidelberg,,['Software'],,,,
2001,7,64,5.3 B,,,Gustavo Cisneros & family,,56,,Venezuela,Venezuela,Caracas,,['Media'],,,,
2001,7,64,5.3 B,,,Walter Haefner,,90,,Switzerland,Switzerland,Zurich,,,,,,
2001,7,64,5.3 B,,,Stefan Persson,,53,,Sweden,Sweden,Stockholm,,['Retail'],,,,
2001,7,70,5.0 B,,,Donald Newhouse,,71,,United States,United States,Somerset County,,['Media'],,,,
2001,7,70,5.0 B,,,Samuel Newhouse,,73,,United States,United States,New York,,['Media'],,,,
2001,7,70,5.0 B,,,Michael Otto & family,,58,,Germany,Germany,Hamburg,,['Retail'],,,,
2001,7,70,5.0 B,,,August von Finck,,71,,Germany,Germany,Switzerland,,['Investments'],,,,
2001,7,70,5.0 B,,,Alain &#38; Gerard Wertheimer,,0,,France,France,Paris,,['Apparel'],,,,
2001,7,75,4.9 B,,,Serge Dassault & family,,76,,France,France,,,,,,,
2001,7,76,4.8 B,,,Gunter Herz,,60,,Germany,Germany,Hamburg,,['Retail'],,,,
2001,7,76,4.8 B,,,Tadashi Yanai & family,,52,,Japan,Japan,Yamaguchi,,['Apparel'],,,,
2001,7,78,4.7 B,,,Rolf Gerling,,46,,Germany,Germany,"Zurich, Switzerland",,['Insurance'],,,,
2001,7,79,4.6 B,,,Edward Johnson,,71,,United States,United States,Boston,,['Finance'],,,,
2001,7,79,4.6 B,,,Spiro Latsis & family,,54,,Greece,Greece,Athens,,,,,,
2001,7,82,4.5 B,,,Michael Bloomberg,,58,,United States,United States,New York,,['Media'],,,,
2001,7,82,4.5 B,,,Masatoshi Ito,,77,,Japan,Japan,Tokyo,,['Retail'],,,,
2001,7,82,4.5 B,,,Lorenzo Mendoza & family,,35,,Venezuela,Venezuela,Caracas,,['Beverages'],,,,
2001,7,82,4.5 B,,,Pierre Omidyar,,44,,United States,United States,Henderson,,,,,,
2001,7,82,4.5 B,,,Nicky Oppenheimer & family,,56,,South Africa,South Africa,Johannesburg,,,,,,
2001,7,90,4.4 B,,,"James, Arthur &#38; John Irving",,0,,Canada,Canada,Saint John,,['Investments'],,,,
2001,7,92,4.3 B,,,Lee Bass,,45,,United States,United States,Fort Worth,,['Oil'],,,,
2001,7,92,4.3 B,Knight,Philip,Phil Knight,1938-02-24,63,Male,United States,United States,Hillsboro,,['Fashion and Retail'],,,False,
2001,7,96,4.1 B,Arison,Micky,Micky Arison,1949-06-29,52,Male,United States,United States,Bal Harbour,,['Service'],,,False,
2001,7,98,4.0 B,,,Donald Bren,,69,,United States,United States,Newport Beach,,['Real Estate'],,,,
2001,7,98,4.0 B,,,Erivan Haub & family,,68,,Germany,Germany,MA?lheim a.d.Ruhr,,['Retail'],,,,
2001,7,98,4.0 B,,,Ty Warner,,57,,United States,United States,Chicago,,['Manufacturing'],,,,
2001,7,98,4.0 B,,,Galen Weston & family,,60,,Canada,Canada,Toronto,,['Retail'],,,,
2001,7,104,3.8 B,,,Sid Bass,,58,,United States,United States,Fort Worth,,['Oil'],,,,
2001,7,104,3.8 B,Huntsman,Jon,Jon Huntsman,1937-06-21,64,Male,United States,United States,Salt Lake City,,,,,False,
2001,7,104,3.8 B,,,Leonard Lauder,,68,,United States,United States,New York,,,,,,
2001,7,104,3.8 B,Perot,Henry Ross,Henry Ross Perot Sr,1930-06-27,71,Male,United States,United States,Dallas,,['Technology'],,,False,
2001,7,109,3.7 B,,,Shari Arison,,43,,Israel,Israel,Tel Aviv,,,,,,
2001,7,109,3.7 B,,,Carl Icahn,,65,,United States,United States,New York,,['Finance'],,,,
2001,7,109,3.7 B,,,Mehmet Emin Karamehmet,,47,,Turkey,Turkey,Geneva,,,,,,
2001,7,109,3.7 B,,,Robert Kuok,,78,,Malaysia,Malaysia,Hong Kong,,,,,,
2001,7,116,3.5 B,,,Antonio Ermirio de Moraes & family,,0,,Brazil,Brazil,Sao Paulo,,,,,,
2001,7,116,3.5 B,McCaw,Craig,Craig McCaw,1949-08-11,51,Male,United States,United States,Hunts Point,,['Media'],,,False,
2001,7,116,3.5 B,,,Kazuo Okada & family,,58,,Japan,Japan,Tokyo,,['Manufacturing'],,,,
2001,7,116,3.5 B,,,Stephan Schmidheiny,,53,,Switzerland,Switzerland,Zurich,,['Investments'],,,,
2001,7,116,3.5 B,,,Reinhold Wurth,,66,,Germany,n/a,Kuenzelsau,,,,,,
2001,7,124,3.4 B,,,Charles Bronfman,,70,,Canada,Canada,Montreal,,['Beverages'],,,,
2001,7,124,3.4 B,,,David Geffen,,58,,United States,United States,Malibu,,['Media'],,,,
2001,7,124,3.4 B,,,Ann Walton Kroenke,,51,,United States,United States,Columbia,,['Retail'],,,,
2001,7,130,3.3 B,,,Edgar Bronfman,,72,,United States,United States,New York,,['Manufacturing'],,,,
2001,6,130,3.3 B,Ebner,Martin,Martin Ebner,1945-08-01,55,Male,Switzerland,Switzerland,Wilen,Finance and Investments,['Finance and Investments'],,,False,
2001,7,130,3.3 B,,,Amos Hostetter,,64,,United States,United States,Boston,,['Media'],,,,
2001,7,130,3.3 B,,,Eitaro Itoyama,,59,,Japan,Japan,Tokyo,,,,,,
2001,7,130,3.3 B,,,Ryoichi Jinnai,,74,,Japan,Japan,Hokkaido,,['Finance'],,,,
2001,7,130,3.3 B,Marcus,Bernard,Bernard Marcus,1929-05-12,71,Male,United States,United States,Atlanta,,['Fashion and Retail'],,,False,
2001,7,130,3.3 B,,,Akira Mori & family,,64,,Japan,Japan,Tokyo,,['Real Estate'],,,,
2001,7,130,3.3 B,,,Ronald Perelman,,58,,United States,United States,New York,,['Finance'],,,,
2001,7,138,3.2 B,,,Doris Fisher,,70,,United States,United States,San Francisco,,['Retail'],,,,
2001,7,138,3.2 B,,,Philippe Foriel-Destezet,,65,,France,France,"London, UK",,,,,,
2001,7,138,3.2 B,,,Karl-Heinz Kipp,,77,,Germany,Germany,"Arosa, Switzerland",,['Retail'],,,,
2001,7,138,3.2 B,,,Charles Koch,,65,,United States,United States,Wichita,,['Oil'],,,,
2001,7,138,3.2 B,,,David Koch,,61,,United States,United States,Wichita,,['Oil'],,,,
2001,7,138,3.2 B,,,Ronald Lauder,,57,,United States,United States,New York,,,,,,
2001,7,146,3.1 B,Crown,Lester,Lester Crown & family,1925-06-07,76,Male,United States,United States,Wilmette,,['Investments'],,,False,
2001,7,146,3.1 B,,,Ennio Doris & family,,61,,Italy,Italy,,,['Insurance'],,,,
2001,7,146,3.1 B,,,William Wrigley,,38,,United States,United States,Lake Forest,,['Food'],,,,
2001,7,151,3.0 B,,,Emilio Azcarraga Jean,,33,,Mexico,Mexico,Mexico City,,['Media'],,,,
2001,7,151,3.0 B,,,Robert Bass,,53,,United States,United States,Fort Worth,,['Investments'],,,,
2001,7,151,3.0 B,,,Riley Bechtel,,49,,United States,United States,San Francisco,,['Construction &#38; Engineering'],,,,
2001,7,151,3.0 B,,,Stephen Bechtel,,76,,United States,United States,San Francisco,,['Construction &#38; Engineering'],,,,
2001,7,151,3.0 B,Hillman,Henry,Henry Hillman,1918-12-25,82,Male,United States,United States,Pittsburgh,,['Investments'],,,False,
2001,7,151,3.0 B,,,Saleh Kamel,,60,,Saudi Arabia,Saudi Arabia,Makkah Al-Minkarramah,,['Finance'],,,,
2001,7,151,3.0 B,Lucas,George,George Lucas,1944-05-14,57,Male,United States,United States,San Anselmo,,['Media'],,,False,
2001,7,151,3.0 B,,,A. Jerrold Perenchio,,70,,United States,United States,Bel Air,,['Media'],,,,
2001,7,151,3.0 B,,,Ricardo Salinas Pliego & family,,45,,Mexico,Mexico,Mexico City,,,,,,
2001,7,162,2.9 B,Wexner,Leslie,Leslie Wexner,1937-09-08,63,Male,United States,United States,New Albany,,['Fashion and Retail'],,,False,
2001,7,162,2.9 B,,,Hiroshi Yamauchi,,73,,Japan,Japan,Kyoto,,['Software'],,,,
2001,7,167,2.8 B,,,Charles Dolan & family,,74,,United States,United States,Oyster Bay,,['Media'],,,,
2001,7,167,2.8 B,,,Aloysio de Andrade Faria,,80,,Brazil,Brazil,Sao Paulo,,['Finance'],,,,
2001,7,167,2.8 B,Sall,John,John Sall,1948-04-04,53,Male,United States,United States,Cary,,['Technology'],,,False,
2001,7,167,2.8 B,Taylor,Jack,Jack Taylor & family,1922-09-01,78,Male,United States,United States,St. Louis,,['Service'],,,False,
2001,7,167,2.8 B,,,Steven Udvar-Hazy,,55,,United States,United States,Beverly Hills,,['Investments'],,,,
2001,7,174,2.7 B,,,Yu-tung Cheng,,75,,Hong Kong,Hong Kong,Shunde,,['Real Estate'],,,,
2001,7,174,2.7 B,,,Bruno Schroder & family,,68,,United Kingdom,United Kingdom,London,,['Finance'],,,,
2001,7,174,2.7 B,,,Jeffrey Skoll,,36,,Canada,Canada,San Jose,,,,,,
2001,7,179,2.6 B,,,Thomas Schmidheiny,,55,,Switzerland,Switzerland,Jona,,['Construction &#38; Engineering'],,,,
2001,7,179,2.6 B,,,Klaus Tschira,,60,,Germany,Germany,Heidelberg,,['Software'],,,,
2001,7,182,2.5 B,,,Otto Beisheim,,77,,Germany,Germany,Switzerland,,['Retail'],,,,
2001,7,182,2.5 B,,,Bernard Ecclestone & family,,70,,United Kingdom,United Kingdom,London,,,,,,
2001,7,182,2.5 B,,,Alan Gerry,,71,,United States,United States,Liberty,,['Media'],,,,
2001,7,182,2.5 B,,,Rahmi Koc,,70,,Turkey,Turkey,Istanbul,,['Manufacturing'],,,,
2001,7,182,2.5 B,,,John Malone,,60,,United States,United States,Parker,,['Media'],,,,
2001,7,182,2.5 B,,,David Rockefeller,,86,,United States,United States,New York,,['Oil'],,,,
2001,7,182,2.5 B,,,Robert Rowling,,47,,United States,United States,Dallas,,['Real Estate'],,,,
2001,7,182,2.5 B,,,Michael &#38; Rainer Schmidt-Ruthenbeck,,0,,Germany,Germany,,,['Retail'],,,,
2001,7,182,2.5 B,,,Takemitsu Takizaki,,56,,Japan,Japan,Osaka,,,,,,
2001,7,194,2.4 B,,,Henry Nicholas,,42,,United States,United States,Laguna Hills,,,,,,
2001,7,194,2.4 B,,,Leonard Stern,,63,,United States,United States,New York,,['Real Estate'],,,,
2001,7,198,2.3 B,,,Martin &#38; Olivier Bouygues,,49,,France,France,Paris,,['Construction &#38; Engineering'],,,,
2001,7,198,2.3 B,Getty,Gordon,Gordon Getty,1933-12-20,65,Male,United States,United States,San Francisco,,['Energy'],,,False,
2001,7,198,2.3 B,,,Terry Gou,,0,,Taiwan,Taiwan,Taipei,,,,,,
2001,7,198,2.3 B,,,Ray Lee Hunt,,58,,United States,United States,Dallas,,['Oil'],,,,
2001,7,198,2.3 B,,,George Kaiser,,58,,United States,United States,Tulsa,,['Oil'],,,,
2001,7,198,2.3 B,,,Ralph Lauren,,61,,United States,United States,New York,,['Manufacturing'],,,,
2001,7,198,2.3 B,,,Henry Samueli,,46,,United States,United States,Newport Beach,,,,,,
2001,7,198,2.3 B,,,Richard Schulze,,60,,United States,United States,Edina,,['Retail'],,,,
2001,7,209,2.2 B,,,Jean-Claude Decaux & family,,63,,France,France,,,,,,,
2001,7,209,2.2 B,,,David Duffield,,60,,United States,United States,Lake Tahoe,,['Software'],,,,
2001,7,209,2.2 B,Huizenga,H. Wayne,H. Wayne Huizenga,1937-12-29,62,Male,United States,United States,Fort Lauderdale,,['Investments'],,,False,
2001,7,209,2.2 B,Ingram,Martha,Martha Ingram & family,1935-08-20,65,Male,United States,United States,Nashville,,['Media'],,,False,
2001,7,209,2.2 B,,,Barbara Piasecka Johnson,,64,,United States,United States,Princeton,,['Manufacturing'],,,,
2001,7,209,2.2 B,Kim,James,James Kim & family,1936-01-08,65,Male,United States,United States,Bryn Mawr,,['Technology'],,,False,
2001,7,209,2.2 B,,,Nancy Walton Laurie,,49,,United States,United States,Columbia,,['Retail'],,,,
2001,7,209,2.2 B,,,Frank Lowy & family,,70,,Australia,Australia,Sydney,,['Real Estate'],,,,
2001,7,209,2.2 B,,,Shiv Nadar,,55,,India,India,New Delhi,,,,,,
2001,7,209,2.2 B,,,Bernard (Barry) Sherman,,59,,Canada,Canada,Toronto,,['Pharmaceuticals'],,,,
2001,7,209,2.2 B,,,Thomas Siebel,,48,,United States,United States,San Mateo,,['Software'],,,,
2001,7,222,2.1 B,,,Sulaiman Al Rajhi,,81,,Saudi Arabia,Saudi Arabia,Jeddah,,['Finance'],,,,
2001,7,222,2.1 B,,,John Dorrance,,57,,Ireland,Ireland,,,['Food'],,,,
2001,7,222,2.1 B,,,Charles Johnson,,68,,United States,United States,San Mateo,,['Finance'],,,,
2001,7,222,2.1 B,,,Sergio Mantegazza,,73,,Switzerland,Switzerland,Lugano,,,,,,
2001,7,222,2.1 B,Ofer,Sammy,Sammy Ofer & family,1922-01-01,0,Male,Israel,,,,['Logistics'],,,False,
2001,7,222,2.1 B,Spielberg,Steven,Steven Spielberg,1946-12-18,54,Male,United States,United States,Pacific Palisades,,['Media'],,,False,
2001,7,234,2.0 B,Bezos,Jeffrey,Jeff Bezos,1964-01-12,37,Male,United States,United States,Seattle,,['Technology'],,,False,
2001,7,234,2.0 B,,,Hubert Burda,,61,,Germany,Germany,Munich,,['Media'],,,,
2001,7,234,2.0 B,,,Peter Kellogg,,58,,United States,United States,Short Hills,,['Finance'],,,,
2001,7,234,2.0 B,,,Richard Li,,34,,Hong Kong,Hong Kong,Hong Kong,,,,,,
2001,7,234,2.0 B,,,Patrick McGovern,,63,,United States,United States,Nashua,,['Media'],,,,
2001,7,234,2.0 B,,,John Menard,,61,,United States,United States,Eau Claire,,['Retail'],,,,
2001,7,234,2.0 B,,,John Morgridge,,67,,United States,United States,San Jose,,,,,,
2001,7,234,2.0 B,,,Ferit Sahenk,,37,,Turkey,Turkey,Istanbul,,,,,,
2001,7,251,1.9 B,,,Abdul Aziz Al Ghurair & family,,47,,United Arab Emirates,United Arab Emirates,Dubai,,['Finance'],,,,
2001,7,251,1.9 B,,,Alberto Bailleres & family,,0,,Mexico,Mexico,Mexico City,,,,,,
2001,7,251,1.9 B,Blank,Arthur,Arthur Blank,1942-09-27,58,Male,United States,United States,Atlanta,,['Sports'],,,False,
2001,7,251,1.9 B,,,Michael Krasny,,47,,United States,United States,Vernon Hills,,,,,,
2001,7,251,1.9 B,,,Kjeld Kirk Kristiansen,,53,,Denmark,Denmark,Billund,,['Manufacturing'],,,,
2001,6,251,1.9 B,Matthews,Terence (Terry),Terence (Terry) Matthews,1943-04-01,58,Male,United Kingdom,Canada,Ottawa,Telecom,['Telecom'],,,True,
2001,7,251,1.9 B,,,Jim Pattison,,72,,Canada,n/a,Vancouver,,,,,,
2001,7,251,1.9 B,,,Richard Rainwater,,57,,United States,United States,Fort Worth,,['Finance'],,,,
2001,7,251,1.9 B,,,Glen Taylor,,60,,United States,United States,Mankato,,['Media'],,,,
2001,7,251,1.9 B,,,Samuel Zell,,59,,United States,United States,Chicago,,['Real Estate'],,,,
2001,7,272,1.8 B,Abraham,S. Daniel,S. Daniel Abraham,1924-08-15,77,Male,United States,United States,Palm Beach,,['Food and Beverage'],,,False,
2001,7,272,1.8 B,,,Herbert Allen & family,,61,,United States,United States,New York,,,,,,
2001,7,272,1.8 B,,,Jeronimo Arango & family,,75,,Mexico,Mexico,,,['Retail'],,,,
2001,7,272,1.8 B,,,Julio Bozano,,65,,Brazil,Brazil,Rio de Janeiro,,['Finance'],,,,
2001,7,272,1.8 B,,,Richard Branson,,50,,United Kingdom,United Kingdom,London,,,,,,
2001,7,272,1.8 B,,,Ronald Burkle,,48,,United States,United States,Los Angeles,,['Food'],,,,
2001,7,272,1.8 B,Butt,Charles,Charles Butt & family,1938-02-03,62,Male,United States,United States,San Antonio,,['Fashion and Retail'],,,False,
2001,7,272,1.8 B,,,John Fisher,,40,,United States,United States,San Francisco,,['Retail'],,,,
2001,7,272,1.8 B,,,B. Thomas Golisano,,59,,United States,United States,Rochester,,,,,,
2001,7,272,1.8 B,,,Donald Hall,,72,,United States,United States,Mission Hills,,['Media'],,,,
2001,7,272,1.8 B,Jacobs,Irwin,Irwin Jacobs,1933-10-18,67,Male,United States,United States,La Jolla,,['Technology'],,,False,
2001,7,272,1.8 B,Malone,Mary Alice Dorrance,Mary Alice Dorrance Malone,1950-02-03,51,Female,United States,United States,Coatesville,,['Food and Beverage'],,,False,
2001,7,272,1.8 B,,,Lakshmi Mittal,,51,,India,United Kingdom,London,,['Manufacturing'],,,,
2001,7,272,1.8 B,,,Vladimir Potanin,,40,,Russia,Russia,Moscow,,,,,,
2001,7,292,1.7 B,,,Giorgio Armani,,66,,Italy,Italy,Milan,,['Apparel'],,,,
2001,7,292,1.7 B,,,John Arrillaga,,63,,United States,United States,Palo Alto,,['Real Estate'],,,,
2001,7,292,1.7 B,,,Kumar Birla,,34,,India,India,Bombay,,,,,,
2001,7,292,1.7 B,,,Michele Ferrero & family,,74,,Italy,Italy,Brussels,,['Food'],,,,
2001,7,292,1.7 B,,,Jess Jackson,,71,,United States,United States,Healdsburg,,['Food'],,,,
2001,7,292,1.7 B,,,James Jannard,,52,,United States,United States,San Juan Islands,,['Apparel'],,,,
2001,7,292,1.7 B,,,Rupert Johnson,,61,,United States,United States,San Mateo,,['Finance'],,,,
2001,7,292,1.7 B,,,Clayton Mathile,,60,,United States,United States,Dayton,,['Food'],,,,
2001,7,292,1.7 B,,,Kenneth Morrison,,69,,United Kingdom,United Kingdom,bradford,,['Retail'],,,,
2001,7,292,1.7 B,,,Richard Peery,,60,,United States,United States,Palo Alto,,['Real Estate'],,,,
2001,7,292,1.7 B,,,Gregorio Perez Companc & family,,66,,Argentina,Argentina,Buenos Aires,,,,,,
2001,7,292,1.7 B,Spangler,Clemmie,Clemmie Spangler Jr,1932-04-05,69,Male,United States,United States,Charlotte,,['Investments'],,,False,
2001,7,292,1.7 B,Trump,Donald,Donald Trump,1946-06-14,55,Male,United States,United States,New York,,['Real Estate'],,,False,
2001,7,312,1.6 B,,,Vladimir Bogdanov,,50,,Russia,Russia,,,['Oil'],,,,
2001,7,312,1.6 B,,,Din Hwa Chen,,78,,Hong Kong,Hong Kong,,,['Real Estate'],,,,
2001,7,312,1.6 B,,,Richard DeVos,,75,,United States,United States,Ada,,['Retail'],,,,
2001,7,312,1.6 B,,,Abilio dos Santos Diniz,,64,,Brazil,Brazil,Sao Paulo,,['Retail'],,,,
2001,7,312,1.6 B,,,Tetsuro Funai,,74,,Japan,Japan,,,['Manufacturing'],,,,
2001,7,312,1.6 B,,,Stanley Stub Hubbard,,68,,United States,United States,St. Mary's Point,,['Media'],,,,
2001,7,312,1.6 B,,,Kun-Hee Lee,,59,,South Korea,South Korea,"Uiryung, Kyongnam",,,,,,
2001,7,312,1.6 B,,,Gary Magness,,47,,United States,United States,Cherry Hills,,['Media'],,,,
2001,7,312,1.6 B,,,George Mitchell,,82,,United States,United States,Houston,,['Oil'],,,,
2001,7,312,1.6 B,,,Gil Shwed,,34,,Israel,Israel,Tel Aviv,,,,,,
2001,7,312,1.6 B,,,Dennis Washington,,66,,United States,United States,Missoula,,['Investments'],,,,
