country,year,billionaire_count,total_net_worth,gdp
Czechia,2006,1,3.0,164921158026.322
Denmark,2006,1,2.8,292651155607.73
Greece,2006,1,9.1,255898673311.456
Indonesia,2006,1,1.8,525006275321.737
Lebanon,2006,1,2.7,31815384920.7126
Monaco,2006,1,1.0,4507700786.40776
New Zealand,2006,1,1.7,149221146114.821
Portugal,2006,1,2.2,205493046680.564
United States,2007,329,1174.1,16312522122000.0
Russia,2007,48,274.6,1233894148246.74
Germany,2007,42,188.1,3173089212221.55
India,2007,31,183.1,1273126725479.64
United Kingdom,2007,23,68.8,2730356339665.79
Canada,2007,20,76.1,1384848127059.22
Hong Kong,2007,19,99.6,251557511730.28
Turkey,2007,18,28.0,590328139721.3
China,2007,17,25.1,5691986693310.73
Japan,2007,17,48.4,4350758602409.6
Brazil,2007,15,40.6,1509032134017.69
France,2007,12,102.1,2325232266173.56
Italy,2007,12,59.8,2007108163418.51
Spain,2007,12,63.8,1236446314561.82
Australia,2007,10,21.9,1094111663603.91
Israel,2007,9,28.4,228837301916.728
Saudi Arabia,2007,9,48.2,465928357984.926
Malaysia,2007,8,25.6,209766600383.972
Mexico,2007,8,70.6,1074439987409.3
South Korea,2007,8,14.5,1137500027631.58
Sweden,2007,8,84.9,450646355053.726
Switzerland,2007,7,29.5,613559744788.948
Taiwan,2007,6,20.1,0.0
Kazakhstan,2007,5,13.1,130657212992.82
Ukraine,2007,5,10.2,117579433690.824
Egypt,2007,4,20.4,244575133305.99
Netherlands,2007,4,14.5,744474740611.177
Norway,2007,4,10.4,358440508422.031
Austria,2007,3,9.9,361424665131.865
Kuwait,2007,3,14.7,103108938022.819
Lebanon,2007,3,6.2,34777595316.005
New Zealand,2007,3,6.7,153772257535.871
Philippines,2007,3,7.5,201216640002.155
Poland,2007,3,5.8,372083512402.176
Singapore,2007,3,10.7,211896059498.482
Thailand,2007,3,8.9,319452158416.903
United Arab Emirates,2007,3,13.5,294888746625.5
Belgium,2007,2,5.0,430554260439.959
Chile,2007,2,6.8,184243394524.547
Colombia,2007,2,10.4,213896316785.023
Cyprus,2007,2,8.0,20832570156.7928
Ireland,2007,2,4.4,232723709494.371
South Africa,2007,2,9.3,297685145427.081
Venezuela,2007,2,12.0,775488102.597973
Argentina,2007,1,1.7,512690850741.56
Czechia,2007,1,6.0,173973393363.484
Denmark,2007,1,3.3,295540131107.448
Greece,2007,1,11.0,264872707591.747
Iceland,2007,1,3.5,16714384610.1713
Indonesia,2007,1,1.5,558318040182.325
Monaco,2007,1,1.0,5158500738.24534
Oman,2007,1,1.3,53055456656.1063
Portugal,2007,1,2.3,210643893704.517
Romania,2007,1,1.1,156287689281.09
United States,2008,382,1462.2,16331051067000.0
Russia,2008,70,438.6,1298056264706.47
Germany,2008,44,217.9,3201977117826.16
India,2008,38,305.3,1312424303406.43
China,2008,36,72.3,6241302053216.75
Turkey,2008,27,51.1,595139459121.408
United Kingdom,2008,27,83.7,2723563286863.32
Hong Kong,2008,24,127.1,256910444645.525
Canada,2008,21,80.9,1398632992699.8
Japan,2008,18,54.3,4297492743392.06
Brazil,2008,17,61.1,1585905180276.35
Spain,2008,14,51.6,1245931907512.54
France,2008,12,108.3,2334072134826.58
Italy,2008,12,56.9,1986572667525.98
Australia,2008,11,32.3,1133349428616.57
Switzerland,2008,10,41.2,630788401993.241
Israel,2008,9,34.5,236356843531.581
Saudi Arabia,2008,9,59.1,494993062360.113
South Korea,2008,9,17.1,1171772731392.34
Sweden,2008,9,88.0,446486334527.751
Malaysia,2008,8,32.7,219902039818.778
Mexico,2008,8,92.6,1084575522159.75
Taiwan,2008,6,22.7,0.0
Indonesia,2008,5,10.9,591893632264.728
Kazakhstan,2008,5,15.2,134968901021.859
Netherlands,2008,5,14.9,760233900008.412
Ukraine,2008,5,23.9,120217318404.635
Austria,2008,4,14.7,366677270021.069
Egypt,2008,4,35.7,262077623377.432
Ireland,2008,4,12.4,222288215958.446
Norway,2008,4,11.8,360167903275.809
Singapore,2008,4,7.5,215844707508.228
United Arab Emirates,2008,4,16.7,304301112606.226
Chile,2008,3,19.2,191225100455.441
Kuwait,2008,3,19.6,105665789072.072
Lebanon,2008,3,7.5,37931620043.7015
New Zealand,2008,3,8.5,151866196412.071
South Africa,2008,3,11.9,307184409060.741
Thailand,2008,3,8.8,324964940636.733
Belgium,2008,2,6.5,432478428732.474
Colombia,2008,2,10.9,220919487240.849
Cyprus,2008,2,9.2,21592294823.2158
Philippines,2008,2,2.9,209958471382.781
Poland,2008,2,4.5,388394800371.402
Portugal,2008,2,9.0,211316368358.012
Romania,2008,2,3.7,170834114652.888
Venezuela,2008,2,9.6,778626043.927224
Argentina,2008,1,2.1,533491913656.279
Belize,2008,1,1.4,1882149832.93556
Czechia,2008,1,9.3,178518044738.046
Denmark,2008,1,6.5,294307201429.912
Greece,2008,1,11.0,265024939417.418
Iceland,2008,1,3.5,17083688339.561
Monaco,2008,1,1.0,5197028095.39412
Nigeria,2008,1,3.3,330679000570.778
Oman,2008,1,1.3,57803951303.0508
United States,2009,334,1016.1,15910281498000.0
Germany,2009,47,164.3,3024422218182.65
Russia,2009,31,101.1,1196807955075.78
China,2009,27,42.8,6827904909100.22
India,2009,23,105.8,1415605643155.69
United Kingdom,2009,22,55.4,2597719582107.35
Canada,2009,18,50.0,1357861634788.53
Hong Kong,2009,18,65.9,250592668521.857
Japan,2009,16,45.0,4052826324007.5
Brazil,2009,13,40.3,1583909921216.67
Turkey,2009,13,18.5,566434966772.826
Italy,2009,12,37.0,1881181927545.97
Spain,2009,12,36.3,1198983535253.48
France,2009,10,63.2,2268145065263.81
Israel,2009,10,20.2,238976215685.434
Saudi Arabia,2009,10,46.2,489712921864.896
Australia,2009,9,14.7,1154798699180.01
Mexico,2009,9,55.1,1016298775551.17
Sweden,2009,9,67.3,427485779310.793
Switzerland,2009,8,28.3,616296829272.353
Malaysia,2009,6,22.9,216573759299.08
Indonesia,2009,5,7.4,619291626040.047
Taiwan,2009,5,10.5,0.0
Austria,2009,4,12.2,353527252232.556
Ireland,2009,4,8.5,210960893742.01
Norway,2009,4,7.6,353179332437.739
South Korea,2009,4,6.8,1181061361993.54
Ukraine,2009,4,6.7,102020662581.874
United Arab Emirates,2009,4,15.4,288346842919.734
Chile,2009,3,12.9,189087132634.086
Egypt,2009,3,7.8,274326082658.196
Kuwait,2009,3,10.3,98188818209.3521
Lebanon,2009,3,5.1,41812842419.7439
Netherlands,2009,3,8.4,732369119511.251
New Zealand,2009,3,6.5,151787298244.391
South Africa,2009,3,7.5,302459639039.778
Thailand,2009,3,7.1,322720673508.111
Belgium,2009,2,3.6,424233483110.434
Colombia,2009,2,6.4,223437193184.792
Denmark,2009,2,3.1,279666951279.328
Nigeria,2009,2,3.7,357255424171.356
Philippines,2009,2,4.1,212999348346.029
Venezuela,2009,2,5.8,767895069.578239
Argentina,2009,1,1.8,501917060966.235
Cyprus,2009,1,4.0,21157153433.1844
Czechia,2009,1,6.0,169952170252.553
Greece,2009,1,3.8,254107830744.956
Iceland,2009,1,1.0,15774426999.3488
Kazakhstan,2009,1,1.2,136588527833.35
Monaco,2009,1,1.0,4607841717.87684
Poland,2009,1,1.0,398551823849.317
Portugal,2009,1,3.3,204718906251.388
Romania,2009,1,1.8,161409698529.133
Singapore,2009,1,1.9,216120888113.033
United States,2010,403,1349.3,16339094225000.0
China,2010,64,133.2,7554112071638.2
Russia,2010,62,265.0,1250664313044.7
Germany,2010,53,217.7,3149837977159.83
India,2010,49,222.1,1535897931732.14
United Kingdom,2010,29,76.7,2655734846473.69
Turkey,2010,28,42.8,614169032343.374
Hong Kong,2010,25,115.6,267552017779.818
Canada,2010,24,74.7,1399830508747.17
Japan,2010,22,68.6,4218907820177.17
Brazil,2010,18,90.3,1703150236842.0
Taiwan,2010,18,38.5,0.0
Italy,2010,13,58.4,1909947188705.16
Spain,2010,13,50.4,1200112046333.33
France,2010,12,89.7,2313515331848.51
Australia,2010,11,25.7,1180435002406.5
South Korea,2010,11,23.8,1261430519849.42
Switzerland,2010,11,41.0,636285784211.754
Israel,2010,10,28.3,252438031645.298
Saudi Arabia,2010,10,59.4,514391969511.633
Sweden,2010,10,83.7,452069357246.318
Malaysia,2010,9,39.3,232654030399.227
Mexico,2010,9,90.3,1066822388048.98
Indonesia,2010,7,16.3,657835433797.592
Ireland,2010,6,17.1,214511307254.188
Kazakhstan,2010,5,10.3,146559490369.689
Netherlands,2010,5,14.9,742031413484.932
Ukraine,2010,5,13.2,106195352549.641
Austria,2010,4,13.0,359922498957.786
Chile,2010,4,26.3,200151851754.47
Egypt,2010,4,13.0,288446290408.139
Lebanon,2010,4,8.3,45147473283.5593
Norway,2010,4,9.0,355959036891.599
Poland,2010,4,6.5,411181642127.603
Singapore,2010,4,10.1,247501100140.018
United Arab Emirates,2010,4,9.0,292968610431.171
Czechia,2010,3,9.8,174565802530.616
New Zealand,2010,3,9.4,153980049861.399
Romania,2010,3,4.3,155105339843.99
South Africa,2010,3,9.6,311653604140.269
Thailand,2010,3,9.1,346967938038.265
Belgium,2010,2,5.9,435731531622.915
Colombia,2010,2,11.6,233479933032.173
Denmark,2010,2,5.0,284093791119.24
Greece,2010,2,7.3,239639588486.45
Philippines,2010,2,5.9,228621785476.226
Portugal,2010,2,5.5,208276152143.946
Venezuela,2010,2,7.7,733566566.717699
Argentina,2010,1,2.0,552738161802.463
Belize,2010,1,1.2,1895708410.0466
Cyprus,2010,1,7.7,21640286551.9217
Finland,2010,1,1.3,233609048633.984
Kuwait,2010,1,8.7,95861255086.3355
Monaco,2010,1,1.2,4703003769.39437
Nigeria,2010,1,2.1,385856064172.784
Pakistan,2010,1,1.0,250382678707.751
United States,2011,412,1529.2,16594704135000.0
China,2011,115,230.4,8275592638197.0
Russia,2011,101,432.7,1304443243520.47
India,2011,55,246.5,1616399198833.92
Germany,2011,52,246.4,3268207907666.64
Turkey,2011,38,63.7,682956643134.524
Hong Kong,2011,36,156.5,280433874440.755
United Kingdom,2011,32,93.7,2685966732014.03
Brazil,2011,30,131.4,1770840632932.71
Japan,2011,26,75.8,4219912322037.65
Taiwan,2011,25,62.3,0.0
Canada,2011,24,85.2,1443745912933.41
Australia,2011,17,48.0,1208849019421.68
Israel,2011,16,46.7,266480711976.331
South Korea,2011,16,39.6,1307922658113.4
France,2011,14,118.5,2369909039492.57
Indonesia,2011,14,32.3,698422460504.757
Italy,2011,14,62.6,1923230167189.95
Spain,2011,14,61.6,1192432281030.21
Mexico,2011,11,125.1,1103564231781.62
Sweden,2011,10,73.9,466372427023.667
Malaysia,2011,9,44.1,244970531973.676
Switzerland,2011,9,36.3,647822333890.064
Egypt,2011,8,20.2,293536132736.607
Saudi Arabia,2011,8,54.8,570942996722.733
Ukraine,2011,8,30.3,111977987703.653
Lebanon,2011,6,13.1,45539055323.5066
Netherlands,2011,6,17.9,755190191987.229
Austria,2011,5,17.5,370459114608.076
Ireland,2011,5,18.9,218048113700.275
Kazakhstan,2011,5,12.0,157404892659.159
Chile,2011,4,42.5,212609096424.814
Norway,2011,4,12.0,359894719437.842
Philippines,2011,4,11.4,237442546246.759
Poland,2011,4,8.9,432791139408.41
Singapore,2011,4,10.5,262883130580.256
South Africa,2011,4,16.7,321528523981.702
United Arab Emirates,2011,4,6.9,311179896130.516
Czechia,2011,3,12.3,177659773362.468
Denmark,2011,3,10.1,287817703270.261
Kuwait,2011,3,13.2,105091329807.779
New Zealand,2011,3,10.7,157431269722.275
Portugal,2011,3,8.9,204707282994.346
Thailand,2011,3,15.8,349882927003.633
Argentina,2011,2,6.5,585924294024.785
Belgium,2011,2,6.8,444146182789.14
Colombia,2011,2,18.9,249701866578.277
Cyprus,2011,2,11.7,21730464387.897
Greece,2011,2,7.3,215970915842.321
Monaco,2011,2,4.2,5033265481.27337
Nigeria,2011,2,15.8,406337011591.35
Romania,2011,2,3.3,162078238594.701
Venezuela,2011,2,7.6,729119123.900602
Belize,2011,1,1.8,1891072573.01966
Finland,2011,1,1.9,239193227012.5
United States,2012,424,1639.8,16974575729000.0
Russia,2012,96,376.1,1356935163515.02
China,2012,95,204.35,8926363432826.3
Germany,2012,55,251.3,3283708733629.98
India,2012,48,194.6,1704596203504.32
Hong Kong,2012,38,159.0,285202060756.432
Brazil,2012,37,153.0,1804861597918.79
United Kingdom,2012,36,98.6,2726497926337.32
Turkey,2012,34,54.3,715659972210.858
Canada,2012,26,80.9,1469093201563.91
Japan,2012,24,73.3,4277925608850.6
Taiwan,2012,24,61.5,0.0
South Korea,2012,20,47.0,1339345905332.01
Australia,2012,18,65.65,1256196122893.84
Indonesia,2012,17,41.5,740537688645.515
Italy,2012,16,76.5,1863124631879.35
Spain,2012,16,70.9,1158267740706.22
France,2012,15,122.0,2374265768198.23
Israel,2012,13,41.5,273251466146.392
Mexico,2012,11,129.7,1142776194808.08
Sweden,2012,11,75.7,464439473181.128
Malaysia,2012,9,45.3,258378881826.473
Switzerland,2012,9,37.2,655461803595.119
Saudi Arabia,2012,8,51.0,601824824266.481
Ukraine,2012,8,31.1,112148546938.896
Egypt,2012,7,17.2,300070833532.511
Austria,2012,6,21.2,372786509841.892
Lebanon,2012,6,12.8,46707037069.3046
Netherlands,2012,6,16.7,747805360729.234
Philippines,2012,6,17.8,253818843995.329
Chile,2012,5,40.9,225695909225.262
Ireland,2012,5,20.6,217178189023.252
Kuwait,2012,5,6.8,112054549995.581
Norway,2012,5,12.6,369676511315.49
Singapore,2012,5,11.6,274543305511.611
Thailand,2012,5,20.6,375224234353.836
Argentina,2012,4,9.6,579910247223.428
Poland,2012,4,8.3,439333996551.267
South Africa,2012,4,17.7,329233094599.263
United Arab Emirates,2012,4,7.6,316857313553.72
Colombia,2012,3,23.6,259471791121.288
Czechia,2012,3,11.5,176290606026.729
Denmark,2012,3,11.1,287802068095.364
Greece,2012,3,7.9,197978089531.731
Kazakhstan,2012,3,7.8,164960327499.374
Morocco,2012,3,6.8,98936909179.3524
New Zealand,2012,3,11.3,161035600341.707
Portugal,2012,3,7.9,196414790306.892
Belgium,2012,2,6.4,445104666566.067
Cyprus,2012,2,12.3,20981332395.2536
Monaco,2012,2,4.2,5084213121.21499
Nigeria,2012,2,15.5,423525315758.054
Peru,2012,2,4.2,169620385179.423
Venezuela,2012,2,7.6,737643344.412283
Belize,2012,1,1.1,1961756625.75293
Finland,2012,1,2.0,235550696192.578
Georgia,2012,1,6.4,13460417765.6957
Romania,2012,1,1.5,165163587446.019
St. Kitts and Nevis,2012,1,1.6,835799755.490721
United States,2013,442,1872.5,17334068403000.0
China,2013,122,262.96,9619598215288.48
Russia,2013,110,427.1,1380755103919.45
Germany,2013,58,296.25,3296391223767.13
India,2013,55,193.6,1813453530766.63
Brazil,2013,46,189.3,1859094488365.14
Turkey,2013,43,74.2,776389567770.091
Hong Kong,2013,39,193.1,294047626477.767
United Kingdom,2013,37,121.1,2775572748536.75
Canada,2013,29,92.05,1503261570659.63
Taiwan,2013,26,72.8,0.0
Indonesia,2013,25,55.25,781691320719.306
France,2013,24,142.85,2392826743884.24
South Korea,2013,24,56.35,1381732300870.28
Italy,2013,23,112.9,1829252559153.33
Australia,2013,22,73.1,1288884775424.06
Japan,2013,22,68.4,4363702302795.86
Spain,2013,20,99.95,1141735528202.44
Israel,2013,17,46.25,284811641782.085
Mexico,2013,15,148.5,1152513808584.62
Chile,2013,14,61.35,233163076989.911
Sweden,2013,14,88.3,469723477690.599
Switzerland,2013,13,50.3,667208623354.645
Philippines,2013,11,39.85,270952964514.551
Malaysia,2013,10,48.75,270506469604.101
Peru,2013,10,23.3,179547449111.361
Singapore,2013,10,31.6,287769788882.221
Thailand,2013,10,38.6,385308369004.167
Ukraine,2013,10,32.1,112199506223.112
Austria,2013,8,26.5,371851835102.085
Saudi Arabia,2013,8,55.55,617079749143.717
Egypt,2013,7,18.55,306628779736.183
Denmark,2013,6,18.5,291810211144.337
Lebanon,2013,6,14.0,48494923363.2625
Netherlands,2013,6,21.25,747579280835.076
Norway,2013,6,17.1,373433130102.304
South Africa,2013,6,22.0,337416077838.151
Argentina,2013,5,11.1,593858966307.156
Colombia,2013,5,34.5,272793056063.57
Ireland,2013,5,21.9,221939116603.514
Kazakhstan,2013,5,9.2,174857947143.911
Kuwait,2013,5,6.15,113342577209.708
Czechia,2013,4,14.9,176216894679.608
Poland,2013,4,9.8,442340098156.254
United Arab Emirates,2013,4,9.75,332876224059.313
Cyprus,2013,3,13.65,19599191958.4445
Greece,2013,3,8.6,193479795857.322
Monaco,2013,3,4.45,5571133210.81248
Morocco,2013,3,6.5,103015299181.348
New Zealand,2013,3,9.15,165480472114.228
Portugal,2013,3,8.55,194481859081.567
Venezuela,2013,3,9.8,755807695.015386
Belgium,2013,2,5.8,446464436746.25
Nigeria,2013,2,20.8,451780110046.797
Angola,2013,1,2.0,85525963563.9192
Belize,2013,1,1.0,2049139661.32515
Finland,2013,1,3.1,233242909380.078
Georgia,2013,1,5.3,14151325572.1376
Guernsey,2013,1,1.5,0.0
Nepal,2013,1,1.0,22100664484.6361
Romania,2013,1,1.1,165624017079.639
St. Kitts and Nevis,2013,1,1.5,883668355.018065
Eswatini (Swaziland),2013,1,3.1,3761746659.51485
Vietnam,2013,1,1.5,210137237901.389
United States,2014,492,2318.45,17771549056000.0
China,2014,152,374.8,10333926843443.8
