Name,Country,Net_Worth_Billions,Source_of_Wealth,Wealth_Type,Generation_of_Wealth,Age_Became_Billionaire,Education_Level,Company_Founded,Philanthropy_Level
Gerald Cavendish Grosvenor & family,USA,49.4,Real Estate,Inherited,Second Generation,34,Bachelor’s,No,Medium
Kirk Kerkorian,UK,90.48,Finance,Self-Made,Second Generation,43,Dropout,No,Medium
Francois Pinault & family,UK,45.07,Media,Self-Made,Multi-Generational,50,Master’s,Yes,Low
Charles Schwab,Thailand,70.62,Manufacturing,Self-Made,First Generation,39,Bachelor’s,Yes,Low
Nasser Al-Kharafi & family,Germany,96.74,Finance,Inherited,Second Generation,24,PhD,No,Low
George Soros,Saudi Arabia,5.67,Real Estate,Inherited,Multi-Generational,23,Master’s,No,Low
Shau Kee Lee,Saudi Arabia,43.79,Energy,Self-Made,First Generation,40,Dropout,Yes,Medium
Eli Broad,Germany,95.12,Retail,Self-Made,First Generation,47,Dropout,Yes,Medium
James Goodnight,USA,91.5,Media,Inherited,Multi-Generational,38,Master’s,No,Low
Masayoshi Son,India,39.59,Tech,Self-Made,Multi-Generational,35,Bachelor’s,Yes,Medium
Luciano Benetton,Switzerland,81.17,Retail,Inherited,Second Generation,22,Dropout,No,High
Thomas Pritzker,Japan,39.64,Manufacturing,Self-Made,Second Generation,46,Bachelor’s,No,High
Curt Engelhorn,Germany,27.12,Media,Self-Made,Multi-Generational,50,Bachelor’s,Yes,Medium
Gordon Moore,Japan,57.19,Finance,Inherited,Multi-Generational,30,None,No,Medium
Hasso Plattner,Switzerland,96.41,Media,Self-Made,First Generation,36,Dropout,No,Medium
Gustavo Cisneros & family,Thailand,28.74,Tech,Self-Made,First Generation,49,PhD,Yes,Medium
Walter Haefner,Thailand,9.45,Real Estate,Inherited,Second Generation,34,None,No,Medium
Stefan Persson,India,6.74,Manufacturing,Inherited,Second Generation,40,Master’s,No,Medium
Donald Newhouse,UK,51.79,Energy,Self-Made,Second Generation,33,Dropout,Yes,Low
Samuel Newhouse,India,17.42,Tech,Self-Made,First Generation,31,Bachelor’s,No,Low
Michael Otto & family,Germany,12.02,Real Estate,Self-Made,First Generation,37,Bachelor’s,No,Medium
August von Finck,UK,92.09,Real Estate,Inherited,Second Generation,36,Bachelor’s,No,Medium
Alain &#38; Gerard Wertheimer,Switzerland,44.11,Manufacturing,Self-Made,First Generation,29,Dropout,Yes,Medium
Serge Dassault & family,Switzerland,69.22,Tech,Self-Made,First Generation,28,Master’s,No,Medium
Gunter Herz,Japan,40.08,Tech,Self-Made,First Generation,37,Dropout,No,Low
Tadashi Yanai & family,India,39.33,Retail,Self-Made,Second Generation,33,PhD,Yes,Low
Rolf Gerling,Germany,40.73,Retail,Inherited,Second Generation,37,PhD,No,Low
Edward Johnson,Brazil,79.81,Manufacturing,Self-Made,First Generation,47,Dropout,Yes,Low
Spiro Latsis & family,India,34.29,Media,Inherited,Multi-Generational,39,Bachelor’s,No,Medium
Michael Bloomberg,Thailand,56.31,Tech,Self-Made,Multi-Generational,29,Master’s,Yes,Low
Masatoshi Ito,Brazil,18.34,Retail,Inherited,Second Generation,37,Bachelor’s,No,High
Lorenzo Mendoza & family,India,78.31,Retail,Inherited,Multi-Generational,18,Bachelor’s,No,Low
Pierre Omidyar,USA,55.49,Manufacturing,Self-Made,Second Generation,41,Bachelor’s,Yes,High
Nicky Oppenheimer & family,Saudi Arabia,20.7,Retail,Self-Made,Second Generation,51,Bachelor’s,Yes,Medium
"James, Arthur &#38; John Irving",Germany,1.42,Retail,Self-Made,Multi-Generational,35,Dropout,Yes,Low
Lee Bass,Brazil,38.36,Finance,Inherited,Multi-Generational,21,Bachelor’s,No,Low
Phil Knight,Germany,31.12,Energy,Inherited,Second Generation,35,Bachelor’s,No,Low
Micky Arison,Thailand,37.4,Media,Self-Made,First Generation,43,Bachelor’s,No,High
Donald Bren,Switzerland,10.9,Real Estate,Self-Made,First Generation,25,Bachelor’s,Yes,Medium
Erivan Haub & family,USA,89.43,Retail,Self-Made,First Generation,54,PhD,No,Low
Ty Warner,UK,26.08,Energy,Self-Made,Second Generation,42,Master’s,No,Medium
Galen Weston & family,Japan,26.63,Energy,Self-Made,Second Generation,37,Master’s,Yes,Medium
Sid Bass,USA,1.93,Retail,Self-Made,First Generation,55,PhD,Yes,Medium
Jon Huntsman,Switzerland,67.96,Media,Inherited,Second Generation,38,Dropout,No,Medium
Leonard Lauder,USA,23.54,Finance,Self-Made,Second Generation,48,Dropout,Yes,Low
Henry Ross Perot Sr,Switzerland,89.72,Retail,Inherited,Multi-Generational,21,Dropout,No,Low
Shari Arison,Brazil,89.79,Energy,Self-Made,First Generation,52,None,Yes,Low
Carl Icahn,Germany,54.6,Retail,Self-Made,Multi-Generational,52,Bachelor’s,Yes,Medium
Mehmet Emin Karamehmet,Thailand,81.95,Media,Inherited,Multi-Generational,31,Dropout,No,Low
Robert Kuok,USA,48.93,Manufacturing,Self-Made,First Generation,39,Bachelor’s,Yes,Low
Antonio Ermirio de Moraes & family,Thailand,46.67,Manufacturing,Self-Made,First Generation,30,Bachelor’s,Yes,Low
Craig McCaw,Thailand,27.57,Media,Self-Made,First Generation,25,PhD,No,Medium
Kazuo Okada & family,Japan,85.97,Media,Self-Made,Second Generation,37,Dropout,Yes,Low
Stephan Schmidheiny,UK,7.7,Manufacturing,Self-Made,First Generation,42,Master’s,Yes,High
Reinhold Wurth,Switzerland,89.15,Real Estate,Self-Made,First Generation,49,PhD,Yes,High
Charles Bronfman,UK,15.29,Finance,Self-Made,First Generation,53,Dropout,Yes,Medium
David Geffen,Germany,6.46,Real Estate,Inherited,Multi-Generational,21,Bachelor’s,No,Medium
Ann Walton Kroenke,India,19.56,Energy,Self-Made,First Generation,53,PhD,No,Low
Edgar Bronfman,Saudi Arabia,20.07,Energy,Self-Made,Second Generation,31,PhD,Yes,Low
Amos Hostetter,UK,3.23,Real Estate,Inherited,Second Generation,30,Master’s,No,High
Eitaro Itoyama,Saudi Arabia,68.33,Tech,Self-Made,First Generation,29,Bachelor’s,Yes,High
Ryoichi Jinnai,Thailand,78.07,Manufacturing,Self-Made,First Generation,35,Bachelor’s,Yes,Low
Bernard Marcus,UK,86.29,Retail,Self-Made,Multi-Generational,42,Bachelor’s,Yes,Medium
Akira Mori & family,Thailand,25.3,Tech,Inherited,Second Generation,26,Bachelor’s,No,Low
Ronald Perelman,Brazil,90.55,Manufacturing,Inherited,Multi-Generational,25,None,No,Medium
Doris Fisher,Brazil,97.09,Retail,Self-Made,First Generation,42,Dropout,Yes,Medium
Philippe Foriel-Destezet,Switzerland,54.89,Tech,Self-Made,First Generation,48,Master’s,No,Low
Karl-Heinz Kipp,Germany,91.79,Tech,Inherited,Second Generation,37,None,No,High
Charles Koch,Japan,40.73,Real Estate,Inherited,Second Generation,35,Dropout,No,Medium
David Koch,Switzerland,16.79,Manufacturing,Self-Made,Second Generation,47,Bachelor’s,Yes,High
Ronald Lauder,Thailand,79.92,Finance,Self-Made,First Generation,54,PhD,Yes,Low
Lester Crown & family,UK,1.83,Finance,Inherited,Second Generation,33,Bachelor’s,No,Low
Ennio Doris & family,USA,18.7,Real Estate,Self-Made,Second Generation,29,None,No,Low
William Wrigley,USA,9.14,Real Estate,Self-Made,First Generation,33,Bachelor’s,No,Medium
Emilio Azcarraga Jean,India,66.2,Media,Self-Made,Multi-Generational,33,Master’s,No,Medium
Robert Bass,USA,78.21,Retail,Self-Made,Second Generation,43,Master’s,No,High
Riley Bechtel,Saudi Arabia,86.9,Real Estate,Self-Made,First Generation,49,Bachelor’s,Yes,High
Stephen Bechtel,Saudi Arabia,20.96,Manufacturing,Inherited,Multi-Generational,22,None,No,Medium
Henry Hillman,Saudi Arabia,40.39,Media,Self-Made,First Generation,50,Bachelor’s,No,Medium
Saleh Kamel,India,23.68,Real Estate,Self-Made,First Generation,46,Master’s,Yes,Low
George Lucas,Switzerland,1.69,Retail,Self-Made,First Generation,38,Master’s,Yes,High
A. Jerrold Perenchio,India,3.74,Finance,Self-Made,First Generation,26,Bachelor’s,Yes,Medium
Ricardo Salinas Pliego & family,Thailand,13.51,Finance,Inherited,Multi-Generational,18,Dropout,No,Medium
Leslie Wexner,Saudi Arabia,75.64,Manufacturing,Self-Made,First Generation,54,Bachelor’s,Yes,High
Hiroshi Yamauchi,Thailand,91.53,Energy,Self-Made,First Generation,31,Dropout,Yes,Low
Charles Dolan & family,India,97.39,Energy,Self-Made,Second Generation,39,Bachelor’s,Yes,High
Aloysio de Andrade Faria,Brazil,91.56,Retail,Self-Made,First Generation,32,Master’s,No,Low
John Sall,Germany,52.2,Manufacturing,Self-Made,First Generation,34,PhD,Yes,High
Jack Taylor & family,Switzerland,73.03,Finance,Inherited,Multi-Generational,40,Dropout,No,Medium
Steven Udvar-Hazy,Brazil,30.41,Media,Self-Made,Second Generation,35,Dropout,Yes,Medium
Yu-tung Cheng,Switzerland,17.31,Energy,Self-Made,First Generation,35,None,Yes,High
Bruno Schroder & family,Saudi Arabia,89.54,Energy,Self-Made,First Generation,30,PhD,Yes,Medium
Jeffrey Skoll,Saudi Arabia,27.75,Manufacturing,Self-Made,Second Generation,29,Bachelor’s,Yes,Medium
Thomas Schmidheiny,USA,63.02,Media,Self-Made,First Generation,44,Bachelor’s,Yes,Medium
Klaus Tschira,Switzerland,42.1,Retail,Inherited,Multi-Generational,30,PhD,No,High
Otto Beisheim,India,13.46,Retail,Self-Made,Multi-Generational,32,Master’s,Yes,Low
Bernard Ecclestone & family,Germany,72.07,Retail,Inherited,Second Generation,21,PhD,No,Low
Alan Gerry,Saudi Arabia,11.76,Media,Self-Made,First Generation,51,Bachelor’s,Yes,Low
Rahmi Koc,Switzerland,96.04,Retail,Self-Made,Multi-Generational,25,Dropout,Yes,Medium
John Malone,India,91.92,Energy,Self-Made,Multi-Generational,44,Master’s,Yes,Medium
David Rockefeller,Brazil,17.19,Manufacturing,Self-Made,First Generation,50,None,Yes,Low
Robert Rowling,UK,68.75,Media,Self-Made,First Generation,54,Bachelor’s,Yes,High
Michael &#38; Rainer Schmidt-Ruthenbeck,USA,79.17,Finance,Self-Made,Multi-Generational,48,Bachelor’s,Yes,Low
Takemitsu Takizaki,Thailand,2.05,Media,Self-Made,Second Generation,25,Master’s,Yes,Medium
Henry Nicholas,UK,30.76,Real Estate,Self-Made,Multi-Generational,45,Bachelor’s,No,Medium
Leonard Stern,Saudi Arabia,84.36,Media,Self-Made,First Generation,55,Bachelor’s,Yes,Low
Martin &#38; Olivier Bouygues,Saudi Arabia,13.37,Manufacturing,Self-Made,First Generation,47,Dropout,Yes,Medium
Gordon Getty,Thailand,81.33,Retail,Inherited,Second Generation,37,Bachelor’s,No,High
Terry Gou,UK,59.16,Retail,Self-Made,First Generation,49,PhD,Yes,Medium
Ray Lee Hunt,Thailand,18.28,Real Estate,Self-Made,First Generation,39,Bachelor’s,Yes,High
George Kaiser,Germany,89.3,Finance,Self-Made,First Generation,33,Bachelor’s,Yes,High
Ralph Lauren,Saudi Arabia,6,Finance,Self-Made,First Generation,30,Bachelor’s,Yes,High
Henry Samueli,USA,63.72,Manufacturing,Self-Made,Second Generation,39,Bachelor’s,No,Low
Richard Schulze,Thailand,91.67,Real Estate,Self-Made,First Generation,29,Bachelor’s,Yes,Medium
Jean-Claude Decaux & family,Germany,37.2,Retail,Self-Made,Multi-Generational,26,Dropout,Yes,Low
David Duffield,USA,28.06,Finance,Inherited,Multi-Generational,28,Bachelor’s,No,Low
H. Wayne Huizenga,India,37.76,Retail,Inherited,Second Generation,28,Bachelor’s,No,High
Martha Ingram & family,USA,94.2,Energy,Self-Made,First Generation,52,Bachelor’s,Yes,High
Barbara Piasecka Johnson,Thailand,90.44,Retail,Inherited,Second Generation,40,Bachelor’s,No,High
James Kim & family,Germany,62.03,Energy,Self-Made,First Generation,40,Dropout,Yes,Medium
Nancy Walton Laurie,Germany,89.52,Real Estate,Self-Made,First Generation,55,Master’s,Yes,High
Frank Lowy & family,UK,25.36,Energy,Inherited,Second Generation,31,Bachelor’s,No,High
Shiv Nadar,Japan,66.06,Media,Self-Made,First Generation,25,Dropout,No,Medium
Bernard (Barry) Sherman,Germany,31.95,Retail,Self-Made,First Generation,42,PhD,Yes,Low
Thomas Siebel,UK,59.97,Real Estate,Inherited,Multi-Generational,24,PhD,No,Medium
Sulaiman Al Rajhi,UK,3.37,Manufacturing,Self-Made,Second Generation,26,Bachelor’s,No,Low
John Dorrance,UK,73.54,Energy,Self-Made,First Generation,29,Master’s,Yes,Medium
Charles Johnson,Germany,54.26,Finance,Self-Made,Second Generation,53,Bachelor’s,No,High
Sergio Mantegazza,Japan,52.78,Real Estate,Inherited,Multi-Generational,40,Master’s,No,Low
Sammy Ofer & family,Japan,81.91,Retail,Inherited,Second Generation,29,PhD,No,Medium
Steven Spielberg,UK,34.07,Real Estate,Inherited,Second Generation,30,Master’s,No,Medium
Jeff Bezos,USA,48.44,Finance,Inherited,Second Generation,18,Dropout,No,High
Hubert Burda,Germany,67.65,Energy,Self-Made,First Generation,31,Master’s,Yes,Low
Peter Kellogg,Switzerland,52.06,Media,Inherited,Second Generation,35,Bachelor’s,No,Medium
Richard Li,Switzerland,95.28,Manufacturing,Inherited,Multi-Generational,21,PhD,No,Low
Patrick McGovern,Brazil,61.15,Finance,Self-Made,Multi-Generational,33,Bachelor’s,No,Low
John Menard,UK,38.51,Manufacturing,Inherited,Multi-Generational,29,Bachelor’s,No,Medium
John Morgridge,Switzerland,89.43,Tech,Self-Made,First Generation,26,Bachelor’s,Yes,Low
Ferit Sahenk,UK,21.52,Retail,Self-Made,Second Generation,41,Bachelor’s,Yes,Medium
Abdul Aziz Al Ghurair & family,India,2.61,Tech,Self-Made,First Generation,55,Bachelor’s,Yes,Medium
Alberto Bailleres & family,Saudi Arabia,77.28,Media,Self-Made,Second Generation,25,PhD,No,Medium
Arthur Blank,Japan,48.62,Manufacturing,Inherited,Multi-Generational,21,Bachelor’s,No,Medium
Michael Krasny,India,2.25,Tech,Self-Made,Second Generation,29,None,Yes,Low
Kjeld Kirk Kristiansen,Thailand,3.35,Tech,Inherited,Multi-Generational,36,None,No,Medium
Terence (Terry) Matthews,USA,66.91,Manufacturing,Inherited,Second Generation,36,Dropout,No,Medium
Jim Pattison,Switzerland,24.45,Manufacturing,Self-Made,First Generation,28,Bachelor’s,No,Medium
Richard Rainwater,Brazil,25.62,Finance,Inherited,Second Generation,18,Bachelor’s,No,Low
Glen Taylor,Saudi Arabia,31.97,Manufacturing,Self-Made,Multi-Generational,25,Master’s,Yes,Low
Samuel Zell,Switzerland,99.17,Manufacturing,Inherited,Multi-Generational,28,None,No,Medium
S. Daniel Abraham,UK,16.11,Manufacturing,Self-Made,First Generation,28,Master’s,Yes,Low
Herbert Allen & family,Thailand,16.37,Energy,Self-Made,First Generation,25,Bachelor’s,No,Low
Jeronimo Arango & family,Brazil,4.86,Real Estate,Inherited,Multi-Generational,21,Bachelor’s,No,Low
Julio Bozano,Thailand,52.35,Media,Self-Made,First Generation,54,Master’s,Yes,Medium
Richard Branson,Japan,88.37,Tech,Self-Made,First Generation,38,Bachelor’s,Yes,Low
Ronald Burkle,India,22.53,Finance,Self-Made,First Generation,49,Bachelor’s,Yes,Low
Charles Butt & family,Japan,38.78,Finance,Self-Made,First Generation,40,Bachelor’s,Yes,Medium
John Fisher,Brazil,30.97,Finance,Self-Made,First Generation,33,PhD,No,Medium
B. Thomas Golisano,UK,19.95,Tech,Self-Made,First Generation,39,Bachelor’s,Yes,Low
Donald Hall,Germany,83.92,Energy,Self-Made,First Generation,47,Bachelor’s,Yes,Medium
Irwin Jacobs,Germany,92.09,Energy,Self-Made,Second Generation,46,Master’s,No,Low
Mary Alice Dorrance Malone,Brazil,45.97,Energy,Inherited,Second Generation,21,Dropout,No,High
Lakshmi Mittal,India,73.63,Energy,Inherited,Second Generation,27,Dropout,No,Medium
Vladimir Potanin,Japan,67.24,Finance,Self-Made,Multi-Generational,32,Bachelor’s,No,Low
Giorgio Armani,Germany,52.05,Tech,Inherited,Second Generation,27,Bachelor’s,No,High
John Arrillaga,Germany,70.04,Finance,Self-Made,Second Generation,39,Dropout,Yes,Low
Kumar Birla,Switzerland,4.82,Retail,Self-Made,First Generation,33,Dropout,Yes,High
Michele Ferrero & family,Switzerland,10.91,Media,Inherited,Multi-Generational,34,Bachelor’s,No,Low
Jess Jackson,Germany,27,Energy,Self-Made,Multi-Generational,33,Bachelor’s,No,Medium
James Jannard,Switzerland,33.48,Real Estate,Self-Made,Second Generation,39,Dropout,No,Low
Rupert Johnson,Switzerland,27.29,Manufacturing,Self-Made,Second Generation,41,Master’s,Yes,Low
Clayton Mathile,Germany,71.09,Real Estate,Inherited,Multi-Generational,20,Bachelor’s,No,Medium
Kenneth Morrison,Brazil,8.01,Energy,Self-Made,First Generation,38,Dropout,Yes,Low
Richard Peery,Germany,70.58,Manufacturing,Self-Made,First Generation,55,Bachelor’s,No,High
Gregorio Perez Companc & family,Germany,3.65,Manufacturing,Self-Made,Second Generation,34,Master’s,No,Low
Clemmie Spangler Jr,UK,4.71,Retail,Self-Made,First Generation,34,None,Yes,Medium
Donald Trump,Japan,38.48,Media,Self-Made,Second Generation,43,Bachelor’s,No,Low
Vladimir Bogdanov,USA,89.92,Finance,Self-Made,First Generation,26,None,Yes,Medium
Din Hwa Chen,Germany,45.01,Energy,Inherited,Multi-Generational,28,Master’s,No,Low
Richard DeVos,Saudi Arabia,81.09,Energy,Inherited,Second Generation,32,Master’s,No,Low
Abilio dos Santos Diniz,Germany,44.79,Manufacturing,Inherited,Multi-Generational,19,None,No,Low
Tetsuro Funai,USA,17.85,Tech,Self-Made,First Generation,55,None,Yes,High
Stanley Stub Hubbard,UK,45.33,Finance,Self-Made,Second Generation,41,Bachelor’s,Yes,Medium
Kun-Hee Lee,Thailand,38.03,Finance,Self-Made,Multi-Generational,40,Dropout,No,Low
Gary Magness,Saudi Arabia,36.66,Tech,Inherited,Second Generation,27,PhD,No,Medium
George Mitchell,India,39.09,Real Estate,Inherited,Second Generation,30,Dropout,No,High
Gil Shwed,Switzerland,65.11,Real Estate,Self-Made,Multi-Generational,31,None,Yes,Medium
Dennis Washington,India,28.03,Real Estate,Inherited,Second Generation,24,Dropout,No,High
Carl Berg,Thailand,84.73,Real Estate,Inherited,Second Generation,37,Bachelor’s,No,Medium
Bennett Dorrance,UK,55.79,Media,Self-Made,Second Generation,54,None,No,Low
Richard Kinder,Germany,89.56,Real Estate,Inherited,Multi-Generational,32,None,No,Medium
Henry Kravis,Thailand,37.02,Media,Self-Made,Multi-Generational,51,Bachelor’s,Yes,Low
Richard Marriott,Germany,39.47,Retail,Self-Made,Second Generation,43,Master’s,No,High
Billy Joe (Red) McCombs,Brazil,39.92,Real Estate,Self-Made,First Generation,47,Master’s,No,High
Marius Nacht,Thailand,36.7,Tech,Inherited,Second Generation,37,Dropout,No,Low
Mitchell Rales,India,48.07,Energy,Inherited,Multi-Generational,30,None,No,Medium
Steven Rales,India,36.85,Finance,Self-Made,Multi-Generational,26,Bachelor’s,Yes,Low
George Roberts,USA,1.7,Media,Self-Made,Multi-Generational,51,Bachelor’s,Yes,Low
Luis Carlos Sarmiento,Thailand,42.99,Real Estate,Self-Made,First Generation,31,Master’s,Yes,High
Harold Simmons,Japan,9.11,Tech,Inherited,Second Generation,19,PhD,No,Medium
John Sobrato & family,India,65.86,Finance,Self-Made,First Generation,37,Dropout,Yes,Medium
Hiew King Tiong,Japan,85.42,Real Estate,Self-Made,Second Generation,31,Bachelor’s,No,Low
Kenny Troutt,Germany,49.89,Real Estate,Inherited,Second Generation,38,None,No,High
Roman Abramovich,Thailand,96.97,Media,Self-Made,Second Generation,29,None,Yes,Medium
Pierre Bellon & family,India,88,Tech,Self-Made,Second Generation,41,Dropout,Yes,Low
Emilio Botin,Switzerland,39.06,Media,Self-Made,Multi-Generational,32,Dropout,No,Medium
Stephen Case,Germany,69.34,Real Estate,Self-Made,First Generation,31,Bachelor’s,Yes,Medium
Mark Cuban,UK,84.91,Real Estate,Self-Made,Second Generation,29,Bachelor’s,Yes,Low
Stanley Druckenmiller,Saudi Arabia,66.2,Retail,Self-Made,Multi-Generational,29,Dropout,Yes,Medium
William Ford Sr,Switzerland,91.24,Finance,Self-Made,Second Generation,39,Master’s,Yes,Medium
Thomas Frist Jr & family,Thailand,84.72,Finance,Inherited,Multi-Generational,23,None,No,Medium
Soichiro Fukutake,Brazil,26.56,Media,Self-Made,Second Generation,32,Dropout,Yes,Medium
Barbara Carlson Gage & family,Japan,44.07,Tech,Inherited,Second Generation,20,Bachelor’s,No,High
Stein Erik Hagen & family,Saudi Arabia,5.59,Retail,Self-Made,Second Generation,25,Bachelor’s,Yes,Low
William Kellogg,Thailand,32.41,Retail,Self-Made,Second Generation,47,Bachelor’s,Yes,Low
George Lindemann & family,India,78.22,Manufacturing,Self-Made,Second Generation,30,None,Yes,Medium
Robert McNair,USA,71.61,Retail,Inherited,Second Generation,32,Bachelor’s,No,Medium
Marilyn Carlson Nelson & family,UK,40.13,Tech,Self-Made,First Generation,41,Bachelor’s,Yes,Low
Miuccia Prada,Thailand,35.13,Manufacturing,Self-Made,Multi-Generational,39,Dropout,Yes,High
Vagit Alekperov,Saudi Arabia,60.56,Retail,Inherited,Multi-Generational,29,Bachelor’s,No,High
Mikhail Fridman,India,26.23,Real Estate,Self-Made,First Generation,27,Master’s,No,Low
Alfredo Harp Helu & family,Switzerland,2.17,Media,Self-Made,First Generation,36,Bachelor’s,Yes,High
Hans-Werner Hector,Germany,11.24,Retail,Inherited,Multi-Generational,23,Bachelor’s,No,Low
Roberto Hernandez Ramirez,USA,54.76,Retail,Self-Made,First Generation,48,None,Yes,Medium
Bradley Hughes,India,63.2,Media,Self-Made,First Generation,32,None,Yes,Low
Steve Jobs,Germany,4.89,Real Estate,Self-Made,First Generation,31,Bachelor’s,Yes,Low
Kenneth Langone,UK,98.18,Energy,Inherited,Multi-Generational,22,Bachelor’s,No,Medium
Eliodoro Matte & family,USA,7.34,Real Estate,Inherited,Multi-Generational,22,Master’s,No,Low
Wallace McCain,Germany,44.25,Media,Self-Made,Second Generation,38,Dropout,No,Low
Arturo Moreno,Germany,16.54,Media,Inherited,Multi-Generational,28,Bachelor’s,No,Medium
Charles Munger,USA,95.74,Tech,Self-Made,First Generation,34,PhD,Yes,Medium
Johann Rupert & family,India,43.5,Finance,Self-Made,First Generation,31,Master’s,Yes,Low
Haim Saban,Saudi Arabia,32.9,Finance,Inherited,Second Generation,18,Dropout,No,Low
