Year,Fashion & Retail,Automotive,Technology,Finance & Investments,Diversified,Telecom,Media & Entertainment,Food & Beverage,Logistics,Manufacturing,Metals & Mining,Gambling & Casinos,Energy,Real Estate,Healthcare,Construction & Engineering,Sports,Service,Fashion & Retail Richest,Automotive Richest,Technology Richest,Finance & Investments Richest,Diversified Richest,Telecom Richest,Media & Entertainment Richest,Food & Beverage Richest,Logistics Richest,Manufacturing Richest,Metals & Mining Richest,Gambling & Casinos Richest,Energy Richest,Real Estate Richest,Healthcare Richest,Construction & Engineering Richest,Sports Richest,Service Richest
2014,195,130,215,283,156,135,67,109,73,132,121,25,113,122,117,49,30,63,Bernard Arnault,Elon Musk,Larry Page,Warren Buffett,Alice Walton,Masayoshi Son,David Geffen,Ernesto Bertarelli,Henry Sy Jr.,Zhang Shiping,Andrew Forrest,Miriam Adelson,Gennady Timchenko,Hui Ka Yan,Patrick Soon-Shiong,Wang Jianlin,Serena Williams,Francoise Bettencourt Meyers
2015,208,135,232,299,161,143,79,108,74,130,120,22,111,133,133,59,32,62,Françoise Bettencourt Meyers,Susanne Klatten,Bill Gates,Warren Buffett,Li Ka-shing,Masayoshi Son,Rupert Murdoch,Ernesto Bertarelli,Petr Kellner,Gautam Adani,Andrew Forrest,Phil Ruffin,Gennady Timchenko,Hui Ka Yan,Thomas Frist,Ren Zhengfei,Roger Federer,Dieter Schwarz
2016,217,146,245,312,167,148,85,116,81,135,117,22,120,134,139,57,36,74,Bernard Arnault,Stefan Quandt,Mark Zuckerberg,Carl Icahn,Alice Walton,Carlos Slim,Rupert Murdoch,Dhanin Chearavanont,Petr Kellner,Gautam Adani,Vagit Alekperov,Phil Ruffin,Gennady Timchenko,Hui Ka Yan,Li Xiting,Wang Jianlin,Lebrom James,Dieter Schwarz
2017,221,151,262,319,169,154,87,116,89,140,119,29,127,142,138,64,35,77,Amancio Ortega,Stefan Quandt,Bill Gates,Warren Buffett,Mukesh Ambani,Sunil Mittal,Michael Bloomberg,Ernesto Bertarelli,Li Shufu,Gautam Adani,Andrew Forrest,Phil Ruffin,Gennady Timchenko,Hui Ka Yan,Li Xiting,Wang Jianlin,Cristiano Ronaldo,Jeff Bezos
2018,233,162,269,340,172,161,86,122,90,147,121,24,132,140,153,62,39,71,Françoise Bettencourt Meyers,Susanne Klatten,Mark Zuckerberg,Ray Dalio,Alice Walton,Masayoshi Son,Rupert Murdoch,Ernesto Bertarelli,Li Shufu,Lakshmi Mittal,Vagit Alekperov,Sheldon Adelson,Harold Hamm,Hui Ka Yan,Patrick Soon-Shiong,Isao Egawa,Lebrom James,Jeff Bezos
2019,241,167,284,354,182,166,95,125,97,149,129,31,138,149,151,65,39,75,Amancio Ortega,Susanne Klatten,Larry Page,Carl Icahn,Alice Walton,Sunil Mittal,Rupert Murdoch,Miriam Adelson,Petr Kellner,Gautam Adani,Gina Rinehart,Miriam Adelson,Charles Koch,Hui Ka Yan,Patrick Soon-Shiong,Isao Egawa,Serena Williams,Jeff Bezos
2020,247,169,293,371,185,175,93,134,91,159,127,25,144,142,165,73,40,82,Bernard Arnault,Susanne Klatten,Jeff Bezos,Carl Icahn,Li Ka-shing,Carlos Slim,Rupert Murdoch,Dhanin Chearavanont,Henry Sy Jr.,Lakshmi Mittal,Vagit Alekperov,Sheldon Adelson,Charles Koch,Hui Ka Yan,Thomas Frist,Ren Zhengfei,Roger Federer,Jeff Bezos
2021,262,178,314,377,195,173,101,135,100,155,131,26,147,145,165,75,46,88,Françoise Bettencourt Meyers,Stefan Quandt,Mark Zuckerberg,George Soros,Li Ka-shing,Masayoshi Son,Oprah Winfrey,Ernesto Bertarelli,Petr Kellner,Zhang Shiping,Andrew Forrest,Sheldon Adelson,Harold Hamm,Lee Shau Kee,Patrick Soon-Shiong,Isao Egawa,Lionel Messi,Dieter Schwarz
2022,269,190,319,389,192,181,104,147,106,166,133,27,156,153,180,75,49,90,Bernard Arnault,Elon Musk,Bill Gates,Warren Buffett,Alice Walton,Carlos Slim,David Geffen,Ernesto Bertarelli,Petr Kellner,Zhang Shiping,Andrew Forrest,Phil Ruffin,Harold Hamm,Lee Shau Kee,Thomas Frist,Ren Zhengfei,Lebrom James,Francoise Bettencourt Meyers
2023,274,190,340,410,195,190,110,145,107,170,129,32,164,159,189,84,47,90,Amancio Ortega,Elon Musk,Mark Zuckerberg,Carl Icahn,Alice Walton,Sunil Mittal,Oprah Winfrey,Dhanin Chearavanont,Henry Sy Jr.,Lakshmi Mittal,Gina Rinehart,Sheldon Adelson,Gennady Timchenko,Hui Ka Yan,Patrick Soon-Shiong,Ren Zhengfei,Cristiano Ronaldo,Dieter Schwarz
2024,286,205,347,419,202,187,117,160,110,170,131,30,173,166,191,88,47,89,Amancio Ortega,Elon Musk,Mark Zuckerberg,Carl Icahn,Mukesh Ambani,Carlos Slim,Michael Bloomberg,Miriam Adelson,Henry Sy Jr.,Lakshmi Mittal,Andrew Forrest,Phil Ruffin,Gennady Timchenko,Hui Ka Yan,Thomas Frist,Wang Jianlin,Cristiano Ronaldo,Dieter Schwarz
