Name,"Education_Status (Educated, Dropout, Self-Taught)","Highest_Degree (Bachelor’s, Master’s, PhD, None)",Graduation_Year,University_Name,Field_of_Study,Startup_Founded (Yes/No),Industry,Age_First_Million
Masatoshi Ito,Educated,Bachelor’s,1961.0,Harvard University,Engineering,No,Manufacturing,24
Lorenzo Mendoza & family,Educated,PhD,1996.0,Stanford University,History,No,Real Estate,34
Pierre Omidyar,Educated,Master’s,1960.0,No Formal University,None,Yes,Media,35
Nicky Oppenheimer & family,Educated,PhD,2004.0,University of Tokyo,Law,Yes,Manufacturing,29
"James, Arthur &#38; John Irving",Self-Taught,None,,No Formal University,None,Yes,Real Estate,26
Lee Bass,Self-Taught,None,,No Formal University,None,No,Media,36
Phil Knight,Dropout,None,,No Formal University,None,No,Media,39
Micky Arison,Educated,Bachelor’s,2015.0,University of Oxford,Law,No,Media,29
Donald Bren,Self-Taught,None,,No Formal University,None,No,Media,38
Erivan Haub & family,Educated,Bachelor’s,1988.0,Harvard University,History,No,Finance,30
Ty Warner,Educated,PhD,1965.0,Stanford University,Engineering,Yes,Real Estate,44
Galen Weston & family,Educated,Bachelor’s,1986.0,University of Oxford,Business,No,Real Estate,23
Sid Bass,Educated,Bachelor’s,2009.0,University of Tokyo,History,Yes,Media,40
Jon Huntsman,Educated,Bachelor’s,1982.0,MIT,None,No,Media,35
Leonard Lauder,Educated,Master’s,2011.0,University of Tokyo,Engineering,No,Finance,30
Henry Ross Perot Sr,Educated,Bachelor’s,1981.0,ETH Zurich,History,No,Telecom,27
Shari Arison,Self-Taught,None,,No Formal University,None,Yes,Manufacturing,39
Carl Icahn,Educated,Bachelor’s,1996.0,ETH Zurich,Economics,Yes,Telecom,35
Mehmet Emin Karamehmet,Educated,Bachelor’s,1963.0,MIT,Law,No,Finance,36
Robert Kuok,Educated,Master’s,1984.0,MIT,None,No,Retail,24
Antonio Ermirio de Moraes & family,Educated,Master’s,1963.0,MIT,Engineering,Yes,Media,42
Craig McCaw,Educated,Bachelor’s,1975.0,Stanford University,None,Yes,Manufacturing,26
Kazuo Okada & family,Educated,Bachelor’s,1967.0,University of Tokyo,Engineering,No,Telecom,30
Stephan Schmidheiny,Dropout,None,,No Formal University,None,Yes,Manufacturing,41
Reinhold Wurth,Self-Taught,None,,No Formal University,None,Yes,Media,27
Charles Bronfman,Self-Taught,None,,No Formal University,None,Yes,Manufacturing,22
David Geffen,Self-Taught,None,,No Formal University,None,No,Real Estate,44
Ann Walton Kroenke,Educated,Master’s,2013.0,ETH Zurich,Engineering,Yes,Telecom,31
Edgar Bronfman,Self-Taught,None,,No Formal University,None,Yes,Media,40
Amos Hostetter,Dropout,None,,No Formal University,None,No,Manufacturing,35
Eitaro Itoyama,Dropout,None,,No Formal University,None,Yes,Manufacturing,42
Ryoichi Jinnai,Educated,PhD,2012.0,University of Oxford,Economics,No,Retail,42
Bernard Marcus,Self-Taught,None,,No Formal University,None,No,Telecom,26
Akira Mori & family,Educated,Master’s,2001.0,MIT,Computer Science,No,Real Estate,35
Ronald Perelman,Self-Taught,None,,No Formal University,None,No,Retail,29
Doris Fisher,Self-Taught,None,,No Formal University,None,Yes,Retail,36
Philippe Foriel-Destezet,Educated,Bachelor’s,1999.0,ETH Zurich,Law,No,Tech,37
Karl-Heinz Kipp,Self-Taught,None,,No Formal University,None,Yes,Real Estate,28
Charles Koch,Educated,Bachelor’s,1977.0,University of Tokyo,History,No,Manufacturing,22
David Koch,Educated,Bachelor’s,1975.0,ETH Zurich,Law,No,Manufacturing,29
Ronald Lauder,Dropout,None,,No Formal University,None,No,Real Estate,22
Lester Crown & family,Educated,Bachelor’s,2004.0,Stanford University,Business,No,Real Estate,39
Ennio Doris & family,Educated,Bachelor’s,2007.0,University of Tokyo,Business,No,Telecom,36
William Wrigley,Educated,Bachelor’s,1967.0,ETH Zurich,Engineering,No,Tech,45
Emilio Azcarraga Jean,Educated,Master’s,1971.0,Stanford University,Engineering,No,Retail,45
Robert Bass,Educated,Master’s,1998.0,MIT,Economics,Yes,Retail,29
Riley Bechtel,Educated,Bachelor’s,2005.0,University of Tokyo,Engineering,No,Tech,23
Stephen Bechtel,Educated,Master’s,1968.0,ETH Zurich,None,No,Tech,22
Henry Hillman,Educated,Bachelor’s,1988.0,MIT,Engineering,Yes,Retail,37
Saleh Kamel,Educated,Bachelor’s,1991.0,Harvard University,Computer Science,Yes,Finance,26
George Lucas,Self-Taught,None,,No Formal University,None,No,Tech,29
A. Jerrold Perenchio,Educated,Master’s,1998.0,University of Tokyo,None,Yes,Media,38
Ricardo Salinas Pliego & family,Educated,PhD,1979.0,No Formal University,Computer Science,No,Retail,40
Leslie Wexner,Dropout,None,,No Formal University,None,Yes,Media,28
Hiroshi Yamauchi,Dropout,None,,No Formal University,None,No,Telecom,24
Charles Dolan & family,Educated,Bachelor’s,1964.0,Stanford University,Economics,No,Real Estate,44
Aloysio de Andrade Faria,Educated,Bachelor’s,1974.0,MIT,History,No,Telecom,36
John Sall,Educated,Bachelor’s,1976.0,No Formal University,None,Yes,Real Estate,25
Jack Taylor & family,Educated,Master’s,1977.0,No Formal University,Engineering,Yes,Tech,27
Steven Udvar-Hazy,Dropout,None,,No Formal University,None,No,Real Estate,25
Yu-tung Cheng,Educated,Bachelor’s,1985.0,MIT,Computer Science,No,Real Estate,24
Bruno Schroder & family,Educated,PhD,2007.0,MIT,Computer Science,No,Tech,24
Jeffrey Skoll,Educated,Master’s,2015.0,University of Tokyo,Computer Science,Yes,Media,43
Thomas Schmidheiny,Self-Taught,None,,No Formal University,None,Yes,Media,27
Klaus Tschira,Educated,Master’s,1977.0,Stanford University,Computer Science,No,Telecom,37
Otto Beisheim,Self-Taught,None,,No Formal University,None,No,Retail,35
Bernard Ecclestone & family,Educated,Master’s,2014.0,Stanford University,Business,No,Telecom,37
Alan Gerry,Educated,PhD,2012.0,No Formal University,Computer Science,Yes,Real Estate,24
Rahmi Koc,Educated,Bachelor’s,2009.0,University of Oxford,None,Yes,Telecom,39
John Malone,Educated,Bachelor’s,1993.0,MIT,Computer Science,No,Telecom,36
David Rockefeller,Dropout,None,,No Formal University,None,Yes,Retail,39
Robert Rowling,Educated,Bachelor’s,2004.0,University of Oxford,Economics,Yes,Telecom,41
Michael &#38; Rainer Schmidt-Ruthenbeck,Dropout,None,,No Formal University,None,Yes,Retail,39
Takemitsu Takizaki,Educated,Bachelor’s,1974.0,No Formal University,Economics,No,Tech,42
Henry Nicholas,Self-Taught,None,,No Formal University,None,No,Telecom,31
Leonard Stern,Educated,Bachelor’s,2013.0,University of Oxford,Law,Yes,Real Estate,39
Martin &#38; Olivier Bouygues,Educated,Bachelor’s,1998.0,University of Tokyo,History,Yes,Media,24
Gordon Getty,Educated,Master’s,1986.0,MIT,None,No,Media,22
Terry Gou,Educated,Bachelor’s,1997.0,University of Tokyo,History,No,Media,26
Ray Lee Hunt,Educated,Bachelor’s,1981.0,University of Tokyo,None,No,Real Estate,32
George Kaiser,Self-Taught,None,,No Formal University,None,Yes,Manufacturing,34
Ralph Lauren,Educated,Master’s,1962.0,MIT,History,No,Telecom,34
Henry Samueli,Educated,Master’s,2012.0,ETH Zurich,Engineering,No,Tech,26
Richard Schulze,Educated,Master’s,2015.0,Harvard University,None,No,Tech,38
Jean-Claude Decaux & family,Self-Taught,None,,No Formal University,None,Yes,Telecom,26
David Duffield,Educated,Master’s,1969.0,Harvard University,Law,No,Retail,41
H. Wayne Huizenga,Dropout,None,,No Formal University,None,Yes,Media,32
Martha Ingram & family,Self-Taught,None,,No Formal University,None,No,Retail,42
Barbara Piasecka Johnson,Dropout,None,,No Formal University,None,No,Media,39
James Kim & family,Educated,Bachelor’s,2000.0,ETH Zurich,Business,Yes,Telecom,24
Nancy Walton Laurie,Educated,Bachelor’s,2000.0,ETH Zurich,None,Yes,Real Estate,27
Frank Lowy & family,Dropout,None,,No Formal University,None,Yes,Tech,32
Shiv Nadar,Dropout,None,,No Formal University,None,No,Retail,33
Bernard (Barry) Sherman,Educated,Bachelor’s,1986.0,University of Tokyo,History,Yes,Finance,27
Thomas Siebel,Educated,PhD,1999.0,ETH Zurich,Engineering,No,Manufacturing,26
Sulaiman Al Rajhi,Educated,Master’s,1989.0,MIT,History,Yes,Media,36
John Dorrance,Self-Taught,None,,No Formal University,None,Yes,Tech,36
Charles Johnson,Self-Taught,None,,No Formal University,None,No,Telecom,35
Sergio Mantegazza,Dropout,None,,No Formal University,None,No,Media,31
Sammy Ofer & family,Educated,Bachelor’s,1990.0,Harvard University,Engineering,No,Manufacturing,33
Steven Spielberg,Educated,PhD,1978.0,Harvard University,None,No,Retail,22
Jeff Bezos,Educated,Master’s,2007.0,Harvard University,Computer Science,No,Media,31
Hubert Burda,Dropout,None,,No Formal University,None,Yes,Manufacturing,33
Peter Kellogg,Educated,Bachelor’s,1976.0,ETH Zurich,None,Yes,Telecom,25
Richard Li,Self-Taught,None,,No Formal University,None,Yes,Retail,36
Patrick McGovern,Educated,Bachelor’s,1968.0,Harvard University,Business,No,Telecom,35
John Menard,Educated,Bachelor’s,1994.0,MIT,Computer Science,No,Media,27
John Morgridge,Educated,PhD,1990.0,No Formal University,Business,No,Media,25
Ferit Sahenk,Educated,Bachelor’s,2008.0,Stanford University,None,No,Media,39
Abdul Aziz Al Ghurair & family,Educated,Master’s,1960.0,MIT,Computer Science,Yes,Real Estate,33
Alberto Bailleres & family,Dropout,None,,No Formal University,None,No,Manufacturing,34
Arthur Blank,Self-Taught,None,,No Formal University,None,No,Tech,43
Michael Krasny,Educated,Bachelor’s,1995.0,MIT,Computer Science,Yes,Telecom,24
Kjeld Kirk Kristiansen,Dropout,None,,No Formal University,None,No,Telecom,31
Terence (Terry) Matthews,Dropout,None,,No Formal University,None,Yes,Finance,23
Jim Pattison,Self-Taught,None,,No Formal University,None,No,Real Estate,25
Richard Rainwater,Educated,PhD,1968.0,University of Oxford,Law,No,Telecom,45
Glen Taylor,Dropout,None,,No Formal University,None,No,Manufacturing,45
Samuel Zell,Dropout,None,,No Formal University,None,No,Telecom,25
S. Daniel Abraham,Self-Taught,None,,No Formal University,None,No,Retail,23
Herbert Allen & family,Dropout,None,,No Formal University,None,Yes,Real Estate,36
Jeronimo Arango & family,Self-Taught,None,,No Formal University,None,No,Tech,43
Julio Bozano,Educated,PhD,2001.0,MIT,Economics,No,Retail,28
Richard Branson,Self-Taught,None,,No Formal University,None,No,Tech,43
Ronald Burkle,Educated,Master’s,1961.0,Harvard University,None,No,Finance,26
Charles Butt & family,Dropout,None,,No Formal University,None,Yes,Tech,39
John Fisher,Educated,Bachelor’s,2015.0,Stanford University,Business,Yes,Media,41
B. Thomas Golisano,Educated,PhD,1969.0,Stanford University,Computer Science,No,Media,27
Donald Hall,Educated,PhD,1968.0,Harvard University,Business,Yes,Manufacturing,32
Irwin Jacobs,Educated,Bachelor’s,1968.0,ETH Zurich,Law,Yes,Telecom,24
Mary Alice Dorrance Malone,Educated,Master’s,1992.0,University of Tokyo,Economics,No,Manufacturing,29
Lakshmi Mittal,Self-Taught,None,,No Formal University,None,Yes,Telecom,43
Vladimir Potanin,Educated,Bachelor’s,1961.0,Harvard University,Law,No,Real Estate,43
Giorgio Armani,Educated,Master’s,1988.0,Harvard University,Economics,No,Manufacturing,26
John Arrillaga,Educated,Bachelor’s,2000.0,University of Tokyo,Computer Science,No,Real Estate,41
Kumar Birla,Educated,Bachelor’s,1998.0,University of Oxford,Economics,Yes,Media,42
Michele Ferrero & family,Dropout,None,,No Formal University,None,Yes,Real Estate,36
Jess Jackson,Self-Taught,None,,No Formal University,None,No,Retail,36
James Jannard,Educated,Master’s,1980.0,University of Oxford,Business,No,Retail,26
Rupert Johnson,Dropout,None,,No Formal University,None,No,Tech,24
Clayton Mathile,Self-Taught,None,,No Formal University,None,Yes,Real Estate,25
Kenneth Morrison,Dropout,None,,No Formal University,None,No,Media,26
Richard Peery,Educated,Master’s,1995.0,University of Tokyo,Business,Yes,Real Estate,33
Gregorio Perez Companc & family,Self-Taught,None,,No Formal University,None,No,Media,45
Clemmie Spangler Jr,Educated,Bachelor’s,1979.0,MIT,Economics,Yes,Finance,43
Donald Trump,Educated,PhD,1982.0,No Formal University,Computer Science,No,Tech,30
Vladimir Bogdanov,Educated,PhD,2014.0,University of Tokyo,None,Yes,Manufacturing,43
Din Hwa Chen,Self-Taught,None,,No Formal University,None,No,Tech,27
Richard DeVos,Educated,Master’s,1981.0,MIT,Economics,Yes,Media,26
Abilio dos Santos Diniz,Educated,Bachelor’s,1969.0,ETH Zurich,History,Yes,Tech,45
Tetsuro Funai,Educated,Bachelor’s,1989.0,MIT,Engineering,No,Retail,45
Stanley Stub Hubbard,Educated,PhD,1998.0,Harvard University,Economics,Yes,Finance,41
Kun-Hee Lee,Educated,Bachelor’s,1988.0,ETH Zurich,Law,No,Manufacturing,36
Gary Magness,Educated,Bachelor’s,1992.0,Harvard University,Business,No,Tech,31
George Mitchell,Dropout,None,,No Formal University,None,No,Manufacturing,43
Gil Shwed,Educated,Bachelor’s,1998.0,Harvard University,Economics,Yes,Retail,28
Dennis Washington,Dropout,None,,No Formal University,None,No,Retail,32
Carl Berg,Educated,Bachelor’s,1987.0,Stanford University,Engineering,No,Manufacturing,44
Bennett Dorrance,Educated,Master’s,2002.0,No Formal University,Business,Yes,Real Estate,45
Richard Kinder,Educated,Bachelor’s,1964.0,No Formal University,Business,No,Manufacturing,34
Henry Kravis,Dropout,None,,No Formal University,None,No,Retail,25
Richard Marriott,Educated,PhD,1970.0,No Formal University,Computer Science,No,Media,44
Billy Joe (Red) McCombs,Self-Taught,None,,No Formal University,None,Yes,Real Estate,25
Marius Nacht,Educated,Master’s,1993.0,Harvard University,Law,No,Telecom,32
Mitchell Rales,Educated,Master’s,1964.0,University of Tokyo,History,Yes,Manufacturing,38
Steven Rales,Educated,Master’s,1982.0,ETH Zurich,None,Yes,Finance,25
George Roberts,Educated,Bachelor’s,1998.0,Stanford University,None,Yes,Finance,42
Luis Carlos Sarmiento,Educated,Master’s,2008.0,University of Tokyo,Law,No,Media,42
Harold Simmons,Educated,Bachelor’s,1990.0,University of Oxford,History,No,Media,30
John Sobrato & family,Educated,Bachelor’s,1964.0,MIT,Law,No,Tech,23
Hiew King Tiong,Educated,Bachelor’s,2001.0,No Formal University,None,Yes,Manufacturing,41
Kenny Troutt,Educated,Bachelor’s,1995.0,No Formal University,History,Yes,Real Estate,40
Roman Abramovich,Dropout,None,,No Formal University,None,No,Manufacturing,37
Pierre Bellon & family,Educated,PhD,1988.0,Harvard University,None,No,Telecom,24
Emilio Botin,Educated,Bachelor’s,1975.0,ETH Zurich,Law,No,Manufacturing,38
Stephen Case,Dropout,None,,No Formal University,None,No,Retail,31
Mark Cuban,Educated,Master’s,2003.0,University of Tokyo,Economics,No,Tech,32
Stanley Druckenmiller,Educated,Master’s,1978.0,MIT,History,Yes,Retail,24
William Ford Sr,Educated,Bachelor’s,1982.0,MIT,History,No,Finance,41
Thomas Frist Jr & family,Dropout,None,,No Formal University,None,Yes,Retail,39
Soichiro Fukutake,Educated,Master’s,2012.0,Stanford University,History,Yes,Telecom,43
Barbara Carlson Gage & family,Educated,Bachelor’s,1983.0,MIT,Engineering,Yes,Retail,37
Stein Erik Hagen & family,Educated,PhD,1969.0,Harvard University,Business,Yes,Manufacturing,39
William Kellogg,Self-Taught,None,,No Formal University,None,Yes,Telecom,32
George Lindemann & family,Self-Taught,None,,No Formal University,None,Yes,Manufacturing,34
Robert McNair,Educated,Bachelor’s,2004.0,No Formal University,Computer Science,Yes,Telecom,36
Marilyn Carlson Nelson & family,Educated,Bachelor’s,2006.0,Stanford University,Law,No,Media,45
Miuccia Prada,Dropout,None,,No Formal University,None,Yes,Manufacturing,29
Vagit Alekperov,Educated,PhD,1990.0,No Formal University,Engineering,No,Telecom,40
Mikhail Fridman,Self-Taught,None,,No Formal University,None,No,Media,31
Alfredo Harp Helu & family,Dropout,None,,No Formal University,None,No,Finance,28
Hans-Werner Hector,Self-Taught,None,,No Formal University,None,Yes,Media,30
Roberto Hernandez Ramirez,Educated,Bachelor’s,1983.0,University of Tokyo,Economics,Yes,Retail,24
Bradley Hughes,Dropout,None,,No Formal University,None,No,Real Estate,38
Steve Jobs,Educated,Bachelor’s,1974.0,No Formal University,Law,No,Tech,35
Kenneth Langone,Educated,Master’s,1975.0,University of Oxford,Economics,No,Finance,22
Eliodoro Matte & family,Educated,Bachelor’s,2005.0,ETH Zurich,Business,Yes,Finance,23
Wallace McCain,Educated,PhD,2004.0,No Formal University,Engineering,No,Real Estate,41
Arturo Moreno,Educated,Bachelor’s,1976.0,Stanford University,None,Yes,Manufacturing,45
Charles Munger,Dropout,None,,No Formal University,None,No,Tech,31
Johann Rupert & family,Educated,Bachelor’s,1975.0,University of Oxford,History,No,Tech,25
Haim Saban,Self-Taught,None,,No Formal University,None,No,Manufacturing,39
Henry Sy & family,Educated,Master’s,1975.0,ETH Zurich,Engineering,No,Real Estate,22
Edward Bass,Dropout,None,,No Formal University,None,Yes,Manufacturing,35
Kunio Busujima & family,Educated,Master’s,1993.0,MIT,Economics,Yes,Real Estate,37
"Archie Aldis ""Red"" Emmerson",Educated,Bachelor’s,1983.0,MIT,History,Yes,Retail,24
John Fredriksen,Educated,Master’s,2000.0,Harvard University,None,No,Finance,23
Marguerite Harbert,Educated,Bachelor’s,2001.0,Stanford University,None,No,Telecom,37
Joseph Jamail,Dropout,None,,No Formal University,None,Yes,Tech,44
John Marriott,Dropout,None,,No Formal University,None,No,Tech,31
Richard Scaife,Educated,Master’s,1962.0,MIT,Business,No,Media,39
Thaksin Shinawatra & family,Educated,Bachelor’s,2001.0,Stanford University,Business,No,Media,23
Jon Stryker,Self-Taught,None,,No Formal University,None,No,Retail,25
Lucio Tan & family,Dropout,None,,No Formal University,None,No,Real Estate,45
Daniel Ziff,Educated,PhD,1981.0,Stanford University,Law,No,Retail,38
Dirk Ziff,Educated,Bachelor’s,1987.0,Harvard University,Law,Yes,Manufacturing,31
Robert Ziff,Educated,Bachelor’s,2002.0,MIT,Business,No,Manufacturing,44
Mortimer Zuckerman,Educated,Master’s,1982.0,University of Oxford,Economics,No,Manufacturing,35
Francesco Gaetano Caltagirone,Educated,PhD,1963.0,Harvard University,History,No,Retail,38
William Cook,Self-Taught,None,,No Formal University,None,Yes,Tech,26
Jean Coutu,Self-Taught,None,,No Formal University,None,No,Tech,26
Victor Fung,Educated,Master’s,1983.0,MIT,Law,Yes,Manufacturing,26
William Fung,Dropout,None,,No Formal University,None,No,Retail,36
Christopher Goldsbury,Dropout,None,,No Formal University,None,Yes,Manufacturing,33
Jonathan Harmsworth,Educated,Master’s,1975.0,Harvard University,Economics,Yes,Real Estate,38
Sidney Kimmel,Educated,Master’s,1976.0,No Formal University,Business,No,Finance,41
Barry Lam,Educated,PhD,1991.0,Stanford University,Economics,Yes,Media,24
Drayton McLane,Educated,PhD,1988.0,Harvard University,None,No,Telecom,33
David Murdock,Dropout,None,,No Formal University,None,No,Retail,27
Leng Chan Quek,Dropout,None,,No Formal University,None,Yes,Media,33
Patrick Ryan,Educated,Bachelor’s,1972.0,No Formal University,Engineering,Yes,Media,37
Walter Scott,Educated,Master’s,1983.0,University of Oxford,None,Yes,Manufacturing,24
Pat Stryker,Educated,Bachelor’s,2005.0,ETH Zurich,Law,No,Media,35
Ronda Stryker,Self-Taught,None,,No Formal University,None,Yes,Finance,32
Albert Ueltschi,Dropout,None,,No Formal University,None,No,Real Estate,43
Charlotte Colket Weber,Educated,Bachelor’s,2013.0,No Formal University,Computer Science,Yes,Media,26
Peter Woo & family,Educated,PhD,1963.0,No Formal University,Economics,Yes,Retail,27
Sheldon Adelson,Educated,PhD,1974.0,MIT,Computer Science,No,Media,24
Thomas Bailey,Educated,Master’s,1995.0,MIT,Engineering,No,Manufacturing,39
Charles Cadogan & family,Educated,Master’s,1997.0,University of Tokyo,Engineering,Yes,Telecom,41
Tae-Won Chey,Dropout,None,,No Formal University,None,No,Media,40
Belmiro de Azevedo,Educated,PhD,1965.0,Harvard University,History,No,Telecom,28
Benjamin de Rothschild,Dropout,None,,No Formal University,None,No,Manufacturing,42
Barry Diller,Educated,PhD,1994.0,MIT,History,No,Real Estate,29
Mark Dixon,Self-Taught,None,,No Formal University,None,No,Retail,36
L. John Doerr,Educated,Bachelor’s,1988.0,University of Oxford,Law,No,Finance,32
Gabriel Escarrer,Dropout,None,,No Formal University,None,No,Media,44
David Filo,Educated,PhD,1982.0,University of Oxford,Engineering,No,Manufacturing,39
Albert Frere,Educated,Bachelor’s,1967.0,MIT,Law,Yes,Finance,25
Tom Gores,Educated,PhD,2015.0,University of Tokyo,Law,Yes,Media,27
